base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,EUR,Kraken,kraken,50346666,0.011601,5241298.473164693,4370710.441214416,,False,False,2026-08-31T11:49:01+00:00,2026-08-31T11:50:32Z
tether,USDT,PHP,Coins.ph,coinspro,33353228,0.016028,5289378.5281775,4684816.699159335,,False,False,2026-08-31T11:48:43+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,Binance,binance,27664039,0.020743,3243550.6934548398,6917889.1730405325,,False,False,2026-08-31T11:49:14+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,Niza.io,niza-global,25173242,0.011601,2586922.5289899856,2177894.667195738,,False,False,2026-08-31T11:48:54+00:00,2026-08-31T11:50:32Z
tether,USDT,BRL,Binance,binance,21178531,0.011919,1632389.352535184,1567411.3957027183,,False,False,2026-08-31T11:49:14+00:00,2026-08-31T11:50:32Z
tether,USDT,THB,Bitkub,bitkub,18753894,0.030175,1732305.6113268188,1395176.5095665893,,False,False,2026-08-31T11:49:13+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,Coinbase Exchange,gdax,16420585,0.01232,327130.630474772,264653.24484147003,,False,False,2026-08-31T11:48:06+00:00,2026-08-31T11:50:32Z
tether,USDT,ZAR,VALR,valr,10235882,0.010616,966488.9796577245,2425135.086481931,,False,False,2026-08-31T11:48:44+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,Paribu,paribu,7264626,0.012074,679094.8501223585,1938100.1292163809,,False,False,2026-08-31T11:49:08+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,BtcTurk | Kripto,btcturk,6574644,0.012074,584568.4904371118,325161.94086908665,,False,False,2026-08-31T11:49:05+00:00,2026-08-31T11:50:32Z
tether,USDT,IDR,Indodax,indodax,5062048,,,,,False,False,2026-08-31T11:49:07+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,OKX,okex,4857738,0.012073,789741.4053652298,5826368.461836336,,False,False,2026-08-31T11:48:46+00:00,2026-08-31T11:50:32Z
tether,USDT,BRL,OKX,okex,4667433,0.011918,1244059.512188209,1546807.9932943918,,False,False,2026-08-31T11:48:13+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,WhiteBIT,whitebit,4410966,0.02073,4662788.074821296,777023.7460293543,,False,False,2026-08-31T11:49:12+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,Bybit,bybit_spot,3954605,0.023199,830557.6326418638,5218668.524722269,,False,False,2026-08-31T11:49:07+00:00,2026-08-31T11:50:32Z
tether,USDT,IDR,TokoCrypto,toko_crypto,3817701,0.015647,812005.1896029151,431256.43447539484,,False,False,2026-08-31T11:48:56+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,Bitstamp by Robinhood,bitstamp,3056925,0.01696,804245.3613961993,736536.8158920932,,False,False,2026-08-31T11:41:11+00:00,2026-08-31T11:50:32Z
tether,USDT,IDR,Binance,binance,2547857,0.011294,797115.4245690821,431204.4709181787,,False,False,2026-08-31T11:49:57+00:00,2026-08-31T11:50:32Z
tether,USDT,THB,Bitazza,bitazza,2338345,0.030184,1273957.0415626625,1179131.283071186,,False,False,2026-08-31T11:49:39+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,OKX,okex,1882768,0.0116,1476955.9825898935,1611249.692828303,,False,False,2026-08-31T11:49:46+00:00,2026-08-31T11:50:32Z
tether,USDT,UAH,WhiteBIT,whitebit,1547121,0.045924,22324.578472782847,19691.388669121003,,False,False,2026-08-31T11:49:47+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,CoinTR,cointr,1529882,0.020725,5642183.159560024,6588452.325191616,,False,False,2026-08-31T11:49:13+00:00,2026-08-31T11:50:32Z
tether,USDT,MXN,Bitso,bitso,1483129,0.01588,295957.03491596144,401385.43770132266,,False,False,2026-08-31T11:49:38+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,CEX.IO,cex,1378712,0.023205,4809344.287036858,6089402.67400731,,False,False,2026-08-31T11:46:14+00:00,2026-08-31T11:50:32Z
tether,USDT,IDR,OSL Exchange,osl-exchange,1335216,0.010711,1538576.564996676,442941.4385404704,,False,False,2026-08-31T11:49:40+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,KuCoin,kucoin,1080420,0.011582,383228.6577327315,170053.8134961262,,False,False,2026-08-31T11:50:00+00:00,2026-08-31T11:50:32Z
tether,USDT,BRL,Foxbit,foxbit,1010474,0.011919,6588866.849381696,1623423.3911003363,,False,False,2026-08-31T11:49:45+00:00,2026-08-31T11:50:32Z
tether,USDT,BRL,Bybit,bybit_spot,937232,0.023027,1929813.2089859264,1246051.3261962598,,False,False,2026-08-31T11:49:52+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,WhiteBIT,whitebit,756011,0.011602,6309868.898626225,7123865.811892672,,False,False,2026-08-31T11:49:47+00:00,2026-08-31T11:50:32Z
tether,USDT,ARS,Binance,binance,746478,0.016231,110432.66606546807,637930.9811933956,,False,False,2026-08-31T11:49:57+00:00,2026-08-31T11:50:32Z
tether,USDT,INR,KoinBX,koinbazar,736229,0.012003,45978.97377661797,32397.860232735387,,False,False,2026-08-31T11:49:54+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,SAFEbit,bitci,674835,0.087451,2348378.1358699286,2247384.8969652667,,False,False,2026-08-31T11:49:36+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,Bitget,bitget,634483,0.011597,3874428.8623870024,4049100.360176643,,False,False,2026-08-31T11:48:44+00:00,2026-08-31T11:50:32Z
tether,USDT,INR,Koinpark,koinpark,619990,0.010011,7333616.602469814,2545265.6789205982,,False,False,2026-08-31T11:48:09+00:00,2026-08-31T11:50:32Z
tether,USDT,MXN,Binance,binance,570291,0.058685,153854.53956450472,126204.70547979035,,False,False,2026-08-31T11:49:57+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,Bybit,bybit_spot,418043,0.041468,192537.81423438943,422474.661341268,,False,False,2026-08-31T11:50:03+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,XBO.com,xbo_com,414563,0.055677,56545935.84026381,56510657.09176111,,False,False,2026-08-31T11:50:08+00:00,2026-08-31T11:50:32Z
tether,USDT,BRL,Mercado Bitcoin,mercado_bitcoin,406601,0.011918,186636.93195265663,207570.28041279546,,False,False,2026-08-31T11:50:54+00:00,2026-08-31T11:50:32Z
tether,USDT,INR,CoinDCX,coindcx,400483,0.01,0.8506998366225713,35.82391534221717,,False,False,2026-08-31T11:51:05+00:00,2026-08-31T11:50:32Z
tether,USDT,TRY,Bitexen,bitexen,348668,0.203501,137016.1222027909,135373.40408006235,,False,False,2026-08-31T11:50:55+00:00,2026-08-31T11:50:32Z
tether,USDT,ZAR,Binance,binance,312553,0.010618,51476.219375215805,68694.40215471586,,False,False,2026-08-31T11:50:54+00:00,2026-08-31T11:50:32Z
tether,USDT,EUR,Kanga Global,kanga,268177,0.520773,350336.6906089786,390838.08704362105,,False,False,2026-08-31T11:50:08+00:00,2026-08-31T11:50:32Z
tether,USDT,SGD,OKX,okex,243958,0.102009,371537.98760134494,473833.8329244705,,False,False,2026-08-31T11:26:42+00:00,2026-08-31T11:50:32Z
tether,USDT,INR,Giottus,giottus,237802,0.290873,61836.298936132516,29126.577701780305,,False,False,2026-08-31T11:47:00+00:00,2026-08-31T11:50:32Z
tether,USDT,SGD,Independent Reserve,independent_reserve,197527,0.09434,622004.2502885974,485886.0611015802,,False,False,2026-08-31T11:50:53+00:00,2026-08-31T11:50:32Z
tether,USDT,ARS,Bitso,bitso,162062,0.046351,112178.2133842368,109548.77117052276,,False,False,2026-08-31T11:51:58+00:00,2026-08-31T11:50:32Z
tether,USDT,IDR,Bittime,bittime,127961,0.016917,344751.6301741759,383666.54793153907,,False,False,2026-08-31T11:51:51+00:00,2026-08-31T11:50:32Z
tether,USDT,THB,Orbix,tdax,120487,0.030193,91900.65038821632,80690.53833466508,,False,False,2026-08-31T11:48:31+00:00,2026-08-31T11:50:32Z
tether,USDT,BRL,Bitso,bitso,116410,0.051794,146218.89463228904,41945.72871174818,,False,False,2026-08-31T11:51:00+00:00,2026-08-31T11:50:32Z
tether,USDT,BRL,Bitget,bitget,101141,0.095694,372636.67412762676,599670.3674378253,,False,False,2026-08-31T11:51:00+00:00,2026-08-31T11:50:32Z
tether,USDT,INR,WazirX,wazirx,77276,0.546992,18414.90609171635,27360.486304501617,,False,False,2026-08-31T11:52:19+00:00,2026-08-31T11:50:32Z
tether,USDT,INR,ZebPay,zebpay,68657,,,,,False,False,2026-08-31T11:52:59+00:00,2026-08-31T11:50:32Z
tether,USDT,CLP,Buda,buda,66371,0.371699,326277.46633994696,306990.0623797367,,False,False,2026-08-31T11:43:19+00:00,2026-08-31T11:50:32Z
