coin_id,peg_ccy,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,target_coin_id,snapshot_utc
eurc,EUR,EURC,USDC,Coinbase Exchange,gdax,7967861,0.018621,368118.11240884213,389184.15545691486,,False,False,2026-08-31T11:56:20+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Aerodrome Slipstream 3,aerodrome-slipstream-3,5702608,0.603688,7735.4178307240445,7712.175520951664,,False,False,2026-08-31T11:53:24+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,WETH,Aerodrome Slipstream 3,aerodrome-slipstream-3,5356110,0.603217,16597.944552590416,16548.073352699463,,False,False,2026-08-31T11:56:14+00:00,l2-standard-bridged-weth-base,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,2923769,0.602853,47902.07763426893,47758.14812050767,,False,False,2026-08-31T11:56:03+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,1861098,0.605304,2243.538036652913,2236.796964977781,,False,False,2026-08-31T11:56:03+00:00,usdc,2026-08-31T11:58:21Z
ethereum,EUR,ETH,EURC,Kraken,kraken,1094093,0.050274,84623.67947706157,103463.52445883022,,False,False,2026-08-31T11:49:43+00:00,eurc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USD,Kraken,kraken,1007153,0.056874,144269.16252016998,599221.28998873,,False,False,2026-08-31T11:52:43+00:00,,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,989794,0.602932,30624.260901930527,30532.245373615333,,False,False,2026-08-31T11:56:34+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,CBBTC,Aerodrome SlipStream,aerodrome-slipstream,857277,0.603566,6812.979370709112,6792.508675981037,,False,False,2026-08-31T11:56:03+00:00,coinbase-wrapped-btc,2026-08-31T11:58:21Z
eurc,EUR,EURC,EURCV,Uniswap V3 (Ethereum),uniswap_v3,772772,0.602783,116594.37765148186,116244.05104955866,,False,False,2026-08-31T11:21:07+00:00,eur-coinvertible,2026-08-31T11:58:21Z
eurc,EUR,EURC,EUR,Kraken,kraken,763869,0.019998,99475.18946673161,268422.1297453115,,False,False,2026-08-31T11:24:05+00:00,,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Uniswap V3 (Avalanche),uniswap-v3-avalanche,528458,0.604578,4489.798307396884,4476.307984655487,,False,False,2026-08-31T11:50:19+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Uniswap V3 (Ethereum),uniswap_v3,516120,0.602841,70529.58326550358,70317.66576366383,,False,False,2026-08-31T11:41:49+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Orca,orca,479706,0.60392,7628.433567303183,7605.512708995431,,False,False,2026-08-31T11:55:55+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDT,HTX,huobi,392006,0.754264,81.68149823102802,145.28425393542372,,False,False,2026-08-31T11:57:06+00:00,tether,2026-08-31T11:58:21Z
eurc,EUR,EURC,KRW,Upbit,upbit,319648,0.3125,148683.49595035575,73779.93113564322,,False,True,2026-08-31T11:56:54+00:00,,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Kraken,kraken,210627,0.028444,251799.21221654234,170501.16301185975,,False,False,2026-08-31T11:26:31+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,PancakeSwap V3 (Base),pancakeswap-v3-base,145745,0.605222,3138.4741507418034,3129.0440992539034,,False,False,2026-08-31T11:56:03+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,EURE,Uniswap V3 (Ethereum),uniswap_v3,145693,0.612837,922.3660246893678,919.5946272886739,,False,False,2026-08-31T11:37:35+00:00,monerium-eur-money,2026-08-31T11:58:21Z
wrapped-bitcoin,EUR,WBTC,EURC,De¹,openocean_finance,136242,,,,,True,True,2026-08-24T18:19:26+00:00,eurc,2026-08-31T11:58:21Z
eurc,EUR,EURC,EUR,Bit2Me,bit2me,120043,0.02,26550.089293536526,17501.170526615864,,False,False,2026-08-31T11:56:11+00:00,,2026-08-31T11:58:21Z
eurc,EUR,EURC,WETH,Alien Base V3,alien-base-v3,108299,0.607812,889.0606251244925,886.3892991654092,,False,False,2026-08-31T11:56:57+00:00,l2-standard-bridged-weth-base,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDT,PancakeSwap V3 (Base),pancakeswap-v3-base,104066,0.607662,1530.4270685484594,1525.8286537259326,,False,False,2026-08-31T11:52:49+00:00,l2-standard-bridged-usdt-base,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Pancakeswap Infinity CLMM (Base),pancakeswap-infinity-clmm-base,90894,0.612572,724.9408755604154,722.7626738439532,,False,False,2026-08-31T11:55:21+00:00,usdc,2026-08-31T11:58:21Z
bitcoin,EUR,BTC,EURC,Kanga Global,kanga,88539,1.294897,1047815.7625104331,448302.5457354055,,False,False,2026-08-31T11:53:18+00:00,eurc,2026-08-31T11:58:21Z
ethereum,EUR,ETH,EURC,De¹,openocean_finance,88458,,,,,True,False,2026-08-28T06:18:34+00:00,eurc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,82247,0.603162,17748.002046266534,17694.675313253905,,False,False,2026-08-31T11:30:48+00:00,usdc,2026-08-31T11:58:21Z
ethereum,EUR,ETH,EURC,Kanga Global,kanga,71811,0.350754,696324.8639860644,339707.8149065551,,False,False,2026-08-31T11:56:10+00:00,eurc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Uniswap V4 (Base),uniswap-v4-base,63102,0.604018,3780.415386179198,3769.056518772597,,False,False,2026-08-31T11:51:13+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Velodrome SlipStream (Optimism),velodrome-finance-slipstream,59527,0.605541,2592.0651407129876,2584.276863173363,,False,False,2026-08-31T11:53:34+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Alien Base V3,alien-base-v3,56339,0.605161,2259.5663320921653,2252.777100819727,,False,False,2026-08-31T11:56:03+00:00,usdc,2026-08-31T11:58:21Z
bitcoin,EUR,BTC,EURC,Kraken,kraken,47894,0.050792,108513.71454398207,177961.9097460194,,False,False,2026-08-31T11:57:00+00:00,eurc,2026-08-31T11:58:21Z
eurc,EUR,EURC,WETH,Aerodrome SlipStream,aerodrome-slipstream,45945,0.633092,427.82783192582093,426.5423542416846,,False,False,2026-08-31T11:55:06+00:00,l2-standard-bridged-weth-base,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Kanga Global,kanga,36890,0.189492,185385.48910004797,186852.38205153597,,False,False,2026-08-31T11:56:10+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,WSOL,Raydium (CLMM),raydium-clmm,36490,0.624522,444.8642011942097,443.52753499245256,,False,False,2026-08-31T11:56:56+00:00,wrapped-sol-2,2026-08-31T11:58:21Z
eurc,EUR,EURC,VCNT,Uniswap V3 (Base),uniswap-v3-base,35675,0.622988,1236.7591135986581,1233.0430714841777,,False,False,2026-08-31T11:54:21+00:00,vicicoin,2026-08-31T11:58:21Z
eurc,EUR,EURC,KRW,Bithumb,bithumb,34870,0.249066,6081.746724945824,56205.90907929848,,False,True,2026-08-31T11:20:01+00:00,,2026-08-31T11:58:21Z
eurc,EUR,EURC,WETH,PancakeSwap V3 (Base),pancakeswap-v3-base,34664,0.609812,669.7623730330718,667.7499640218753,,False,False,2026-08-31T11:55:21+00:00,l2-standard-bridged-weth-base,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Uniswap V3 (Base),uniswap-v3-base,33862,0.607581,1474.9599341700432,1470.5281792937044,,False,False,2026-08-31T11:46:58+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,ETH,Uniswap V4 (Ethereum),uniswap-v4-ethereum,32792,0.603514,10114.724922044172,10084.333600586808,,False,True,2026-08-31T11:18:27+00:00,ethereum,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDT,Uniswap V3 (Ethereum),uniswap_v3,31490,0.614603,1135.059449052258,1131.6489799732437,,False,False,2026-08-31T11:47:48+00:00,tether,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Blackhole V3,blackhole-v3,26571,1.419607,21.545016379017316,21.480280904387467,,False,False,2026-08-31T11:43:36+00:00,usdc,2026-08-31T11:58:21Z
eurc,EUR,EURC,EUR0,Uniswap V3 (Ethereum),uniswap_v3,22736,0.604911,2209.490384151611,2202.8516141366836,,False,False,2026-08-31T10:15:17+00:00,usual-eur,2026-08-31T11:58:21Z
solana,EUR,SOL,EURC,Kraken,kraken,21584,0.078493,71835.38079486,64365.058948146994,,False,False,2026-08-31T11:07:53+00:00,eurc,2026-08-31T11:58:21Z
eurc,EUR,EURC,PLN,Kanga Global,kanga,21269,0.426287,220891.57758997747,135361.40642419748,,False,False,2026-08-31T11:56:10+00:00,,2026-08-31T11:58:21Z
eurc,EUR,EURC,USDC,Supernova (CL),supernova-cl,21034,0.999971,329.76910529511264,328.778260861579,,False,False,2026-08-31T11:33:21+00:00,usdc,2026-08-31T11:58:21Z
