date,collected_utc,venue,pair,corridor,stablecoin,off_ramp_action,raw_file,raw_sha256,threshold_bps,reference_mid,best_bid,best_ask,executable_stablecoin_usd,quote_proceeds,book_covers_threshold,depth_is_lower_bound,levels_used
2026-08-10,2026-08-10T07:05:15.550981+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fff126b97dabc784fc14e6f0bad6b915828cd9ba4fd694a42c68052c60fd473a,10,16.3482,16.3465,16.3499,357903.17529999994,5849431.27311073,True,False,10
2026-08-10,2026-08-10T07:05:15.550981+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fff126b97dabc784fc14e6f0bad6b915828cd9ba4fd694a42c68052c60fd473a,50,16.3482,16.3465,16.3499,939811.6376999995,15333194.84858605,True,False,32
2026-08-10,2026-08-10T07:05:15.550981+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fff126b97dabc784fc14e6f0bad6b915828cd9ba4fd694a42c68052c60fd473a,100,16.3482,16.3465,16.3499,1019399.2370999997,16624167.919897214,True,False,59
2026-08-10,2026-08-10T07:05:15.550981+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fff126b97dabc784fc14e6f0bad6b915828cd9ba4fd694a42c68052c60fd473a,200,16.3482,16.3465,16.3499,1082507.6167999995,17643855.37139915,True,False,81
2026-08-10,2026-08-10T07:05:15.772091+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,614473346043bec1ecbef4f7cf8bbc5c688d2327e9d246688011250f494771d4,10,32.965,32.96,32.97,959513.69,31623922.7468,True,False,3
2026-08-10,2026-08-10T07:05:15.772091+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,614473346043bec1ecbef4f7cf8bbc5c688d2327e9d246688011250f494771d4,50,32.965,32.96,32.97,1182959.9700000002,38971467.523600005,True,False,14
2026-08-10,2026-08-10T07:05:15.772091+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,614473346043bec1ecbef4f7cf8bbc5c688d2327e9d246688011250f494771d4,100,32.965,32.96,32.97,1382521.4000000006,45504104.353199996,True,False,31
2026-08-10,2026-08-10T07:05:15.772091+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,614473346043bec1ecbef4f7cf8bbc5c688d2327e9d246688011250f494771d4,200,32.965,32.96,32.97,1454960.6399999997,47856180.9557,True,False,62
