date,collected_utc,venue,pair,corridor,stablecoin,off_ramp_action,raw_file,raw_sha256,requested_stablecoin_usd,filled_stablecoin_usd,fill_rate,quote_proceeds,vwap_quote_per_stablecoin,average_slippage_bps,terminal_impact_bps,levels_used,book_exhausted
2026-09-26,2026-09-26T10:24:44.264813+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,3e224dacf51ea6f3b2db3bcc402fc30ee8401127aac899d2e490d598dfa7a9a1,1000,1000.0,1.0,16339.002569979999,16.33900256998,3.4857966313239785,3.487368994231632,2,False
2026-09-26,2026-09-26T10:24:44.264813+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,3e224dacf51ea6f3b2db3bcc402fc30ee8401127aac899d2e490d598dfa7a9a1,5000,5000.0,1.0,81671.00624138,16.334201248276003,6.42333705971776,7.158283725000603,3,False
2026-09-26,2026-09-26T10:24:44.264813+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,3e224dacf51ea6f3b2db3bcc402fc30ee8401127aac899d2e490d598dfa7a9a1,10000,10000.0,1.0,163336.00624137998,16.333600624137997,6.7908103923608465,7.158283725000603,3,False
2026-09-26,2026-09-26T10:24:44.264813+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,3e224dacf51ea6f3b2db3bcc402fc30ee8401127aac899d2e490d598dfa7a9a1,25000,25000.0,1.0,408300.61089181993,16.332024435672796,7.75515263492399,11.808109050640558,4,False
2026-09-26,2026-09-26T10:24:44.264813+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,3e224dacf51ea6f3b2db3bcc402fc30ee8401127aac899d2e490d598dfa7a9a1,50000,50000.0,1.0,816260.3719619899,16.325207439239797,11.925921405839812,17.620390707691058,8,False
2026-09-26,2026-09-26T10:24:44.264813+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,3e224dacf51ea6f3b2db3bcc402fc30ee8401127aac899d2e490d598dfa7a9a1,100000,100000.0,1.0,1630871.98884399,16.3087198884399,22.01332025678071,38.97287805833094,18,False
2026-09-26,2026-09-26T10:24:44.567852+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,f233ff26ff9e75cb6f17ce6030f16fdda7155e8f77d5bf5579846f4dbeb316bf,1000,1000.0,1.0,33370.0,33.37,1.498127340824329,1.498127340824329,1,False
2026-09-26,2026-09-26T10:24:44.567852+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,f233ff26ff9e75cb6f17ce6030f16fdda7155e8f77d5bf5579846f4dbeb316bf,5000,5000.0,1.0,166850.0,33.37,1.498127340824329,1.498127340824329,1,False
2026-09-26,2026-09-26T10:24:44.567852+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,f233ff26ff9e75cb6f17ce6030f16fdda7155e8f77d5bf5579846f4dbeb316bf,10000,10000.0,1.0,333700.0,33.37,1.498127340824329,1.498127340824329,1,False
2026-09-26,2026-09-26T10:24:44.567852+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,f233ff26ff9e75cb6f17ce6030f16fdda7155e8f77d5bf5579846f4dbeb316bf,25000,25000.0,1.0,834249.9999999999,33.37,1.498127340824329,1.498127340824329,1,False
2026-09-26,2026-09-26T10:24:44.567852+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,f233ff26ff9e75cb6f17ce6030f16fdda7155e8f77d5bf5579846f4dbeb316bf,50000,50000.0,1.0,1668499.9999999998,33.37,1.498127340824329,1.498127340824329,1,False
2026-09-26,2026-09-26T10:24:44.567852+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,f233ff26ff9e75cb6f17ce6030f16fdda7155e8f77d5bf5579846f4dbeb316bf,100000,100000.0,1.0,3336999.9999999995,33.37,1.498127340824329,1.498127340824329,1,False
