coin_id,peg_ccy,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,target_coin_id,snapshot_utc
eurc,EUR,EURC,USDC,Aerodrome Slipstream 3,aerodrome-slipstream-3,1649336,0.603279,18217.35605022731,18162.619067452913,,False,False,2026-08-16T05:57:26+00:00,usdc,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,967256,0.603481,16115.719622863691,16067.29734550568,,False,False,2026-08-16T06:04:09+00:00,usdc,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDC,Coinbase Exchange,gdax,961577,0.018649,421668.4511334877,455186.65393258224,,False,False,2026-08-16T06:05:56+00:00,usdc,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,743067,0.602907,46009.577835093376,45871.334642037626,,False,False,2026-08-16T06:02:05+00:00,usdc,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,540830,0.604475,2812.0823773595607,2803.6330225670577,,False,False,2026-08-16T05:56:36+00:00,usdc,2026-08-16T06:07:50Z
eurc,EUR,EURC,WETH,Aerodrome Slipstream 3,aerodrome-slipstream-3,490923,0.603277,18572.69929735746,18516.894628517995,,False,False,2026-08-16T05:59:47+00:00,l2-standard-bridged-weth-base,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDC,Uniswap V3 (Ethereum),uniswap_v3,401402,0.602804,104243.35021843399,103930.13426934017,,False,False,2026-08-16T05:47:07+00:00,usdc,2026-08-16T06:07:50Z
eurc,EUR,EURC,EURCV,Uniswap V3 (Ethereum),uniswap_v3,363555,0.602782,116338.7778897848,115989.21927854668,,True,False,2026-08-15T21:10:30+00:00,eur-coinvertible,2026-08-16T06:07:50Z
eurc,EUR,EURC,USD,Kraken,kraken,159955,0.153699,153962.04039373,901549.4712754701,,False,False,2026-08-16T06:06:01+00:00,,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDC,Orca,orca,150340,0.604262,7967.232273100871,7943.293439469361,,False,False,2026-08-16T06:00:25+00:00,usdc,2026-08-16T06:07:50Z
eurc,EUR,EURC,EUR,Kraken,kraken,125807,0.02,298661.75150946516,233222.6204247211,,False,False,2026-08-16T06:02:56+00:00,,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDT,HTX,huobi,119677,2.525465,16.82851346554724,14.122285554182481,,False,True,2026-08-16T06:05:51+00:00,tether,2026-08-16T06:07:50Z
eurc,EUR,EURC,USDT,PancakeSwap V3 (Base),pancakeswap-v3-base,95693,0.609354,2250.6673759869145,2243.9048830625497,,False,False,2026-08-16T05:10:57+00:00,l2-standard-bridged-usdt-base,2026-08-16T06:07:50Z
eurc,EUR,EURC,EUR,Bit2Me,bit2me,93846,0.02,317247.9580647401,98199.16676444709,,False,False,2026-08-16T06:02:10+00:00,,2026-08-16T06:07:50Z
