date,layer,corridor,asset,venues,pairs,volume_24h_usd,depth_2pct_usd,median_spread_pct,unknown_venues,source_scope,api_pair_observed,observation_status,aggregation_assumption
2026-07-08,fiat,PEN,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,PEN,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,PHP,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,PHP,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,PHP,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,PKR,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,PKR,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,PKR,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,SGD,ALL_FRICTIONLESS,2.0,2.0,267590.0,1203653.7356369318,0.0347825,0.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,SGD,USDC,1.0,1.0,105094.0,556551.5226262388,0.015469,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,fiat,SGD,USDT,1.0,1.0,162496.0,647102.2130106931,0.054096,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,fiat,THB,ALL_FRICTIONLESS,2.0,2.0,22938612.0,2424108.1547631905,0.029994,0.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,THB,USDC,1.0,1.0,363629.0,205919.08202038376,0.029994,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,fiat,THB,USDT,1.0,1.0,22574983.0,2218189.0727428067,0.029994,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,fiat,TRY,ALL_FRICTIONLESS,5.0,5.0,70535658.0,4609472.82513322,0.019215999999999997,0.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,TRY,USDC,1.0,1.0,2154967.0,111327.9150220696,0.021345,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,fiat,TRY,USDT,4.0,4.0,68380691.0,4498144.910111151,0.017086999999999998,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,fiat,UAH,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,UAH,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,UAH,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,VND,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,VND,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,VND,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-07-08,fiat,ZAR,ALL_FRICTIONLESS,2.0,2.0,21416111.0,1244522.8626400854,0.0232815,0.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,fiat,ZAR,USDC,1.0,1.0,402692.0,199884.8449536353,0.035953,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,fiat,ZAR,USDT,1.0,1.0,21013419.0,1044638.01768645,0.01061,0.0,api_only,True,observed_depth,asset_specific
2026-07-08,tokenized,ARS,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,ARS,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,ARS,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,BRL,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
