date,collected_utc,venue,pair,corridor,stablecoin,off_ramp_action,raw_file,raw_sha256,threshold_bps,reference_mid,best_bid,best_ask,executable_stablecoin_usd,quote_proceeds,book_covers_threshold,depth_is_lower_bound,levels_used
2026-08-14,2026-08-14T07:08:50.176476+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,1bf1a7c6563243ee734fa12bbbb0ad22ca813f4a20d1e778de196a951209da44,10,16.259149999999998,16.2591,16.2592,499811.602,8124804.902609079,True,False,14
2026-08-14,2026-08-14T07:08:50.176476+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,1bf1a7c6563243ee734fa12bbbb0ad22ca813f4a20d1e778de196a951209da44,50,16.259149999999998,16.2591,16.2592,662746.9831000002,10767778.556137593,True,False,34
2026-08-14,2026-08-14T07:08:50.176476+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,1bf1a7c6563243ee734fa12bbbb0ad22ca813f4a20d1e778de196a951209da44,100,16.259149999999998,16.2591,16.2592,672670.0153000001,10928034.800522354,True,False,39
2026-08-14,2026-08-14T07:08:50.176476+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,1bf1a7c6563243ee734fa12bbbb0ad22ca813f4a20d1e778de196a951209da44,200,16.259149999999998,16.2591,16.2592,687253.0505000001,11161927.897414243,True,False,60
2026-08-14,2026-08-14T07:08:50.410319+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,d9000bbb1fec46113ed26a265efeba7491fc05ec0ea4bd4eff04d67f29725553,10,33.125,33.12,33.13,624629.55,20682522.7873,True,False,3
2026-08-14,2026-08-14T07:08:50.410319+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,d9000bbb1fec46113ed26a265efeba7491fc05ec0ea4bd4eff04d67f29725553,50,33.125,33.12,33.13,1230438.8000000003,40709355.92939999,True,False,17
2026-08-14,2026-08-14T07:08:50.410319+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,d9000bbb1fec46113ed26a265efeba7491fc05ec0ea4bd4eff04d67f29725553,100,33.125,33.12,33.13,1449076.4500000002,47902343.51119999,True,False,31
2026-08-14,2026-08-14T07:08:50.410319+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,d9000bbb1fec46113ed26a265efeba7491fc05ec0ea4bd4eff04d67f29725553,200,33.125,33.12,33.13,1555675.5200000005,51382695.496699974,True,False,61
