coin_id,peg_ccy,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,target_coin_id,snapshot_utc
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,6495381,0.602842,47196.665501036085,47054.855511737056,,False,False,2026-08-13T07:06:58+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Aerodrome Slipstream 3,aerodrome-slipstream-3,5489506,0.603713,8318.249262481486,8293.255741723684,,False,False,2026-08-13T07:07:42+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Coinbase Exchange,gdax,3318819,0.018681,413913.09097117983,542544.7274275444,,False,False,2026-08-13T07:04:44+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,2723738,0.606297,2742.3551900381653,2734.1153418195468,,False,False,2026-08-13T07:06:04+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,WETH,Aerodrome Slipstream 3,aerodrome-slipstream-3,2595928,0.603243,14824.47154770226,14779.929033327016,,False,False,2026-08-13T07:07:42+00:00,l2-standard-bridged-weth-base,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Orca,orca,2583354,0.603902,7337.13189919443,7315.08630370448,,False,False,2026-08-13T07:05:52+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V3 (Ethereum),uniswap_v3,1430506,0.60278,100939.3847977207,100636.09614531153,,False,False,2026-08-13T07:06:43+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,876111,0.603113,13257.85473722543,13218.019375585895,,False,False,2026-08-13T07:06:10+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,CBBTC,Aerodrome SlipStream,aerodrome-slipstream,742242,0.603686,8433.188202624724,8407.849329293838,,False,False,2026-08-13T07:06:04+00:00,coinbase-wrapped-btc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,PancakeSwap V3 (Base),pancakeswap-v3-base,347028,0.604163,3151.938143369,3142.467637144942,,False,False,2026-08-13T07:01:47+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDT,PancakeSwap V3 (Base),pancakeswap-v3-base,330770,0.605397,2016.0386070457046,2009.9810940782831,,False,True,2026-08-13T07:06:10+00:00,l2-standard-bridged-usdt-base,2026-08-13T07:10:01Z
eurc,EUR,EURC,EURCV,Uniswap V3 (Ethereum),uniswap_v3,319699,0.602772,117224.95792220993,116872.73664021782,,False,False,2026-08-13T01:55:07+00:00,eur-coinvertible,2026-08-13T07:10:01Z
eurc,EUR,EURC,EUR,Kraken,kraken,292880,0.03,218118.53346859227,216145.83741095194,,False,False,2026-08-13T06:57:35+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Kraken,kraken,233280,0.022568,180437.0342800033,535257.0836791039,,False,False,2026-08-13T06:58:29+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,192746,0.603261,19772.56644260234,19713.156579514063,,False,False,2026-08-13T06:58:17+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Pancakeswap Infinity CLMM (Base),pancakeswap-infinity-clmm-base,189001,0.608982,1614.4934028517494,1609.642397176852,,False,False,2026-08-13T07:06:54+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USD,Kraken,kraken,172690,0.032993,153418.91817850003,192480.52045928998,,False,False,2026-08-13T07:04:30+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDT,HTX,huobi,171424,1.566328,5.19686925409004,290.78882841142945,,False,True,2026-08-13T07:07:46+00:00,tether,2026-08-13T07:10:01Z
eurc,EUR,EURC,BRL,Mercado Bitcoin,mercado_bitcoin,155133,0.228341,2142.9955985853053,2141.8053279835794,,False,True,2026-08-13T02:35:14+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V3 (Avalanche),uniswap-v3-avalanche,131066,0.604511,4466.664751526204,4453.243937282402,,False,False,2026-08-13T07:07:33+00:00,usdc,2026-08-13T07:10:01Z
usdc,EUR,USDC,EURC,Raydium (CLMM),raydium-clmm,119897,0.604973,2217.9591320021223,2211.29491626917,,False,False,2026-08-13T07:05:54+00:00,eurc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Velodrome SlipStream (Optimism),velodrome-finance-slipstream,106362,0.604584,3257.8540694983435,3248.0653218012585,,False,False,2026-08-13T07:07:30+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,EUR,Bit2Me,bit2me,76349,0.03,139560.68564974642,267972.1475956536,,False,False,2026-08-13T07:06:10+00:00,,2026-08-13T07:10:01Z
bitcoin,EUR,BTC,EURC,Kanga Global,kanga,63552,1.295282,79756.37453760271,750531.9369679121,,False,False,2026-08-13T07:07:46+00:00,eurc,2026-08-13T07:10:01Z
ethereum,EUR,ETH,EURC,Kanga Global,kanga,46878,0.351047,297763.9915645732,888873.7372540848,,False,False,2026-08-13T07:05:09+00:00,eurc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V3 (Base),uniswap-v3-base,46863,0.607481,1453.7732243802654,1449.4051283886522,,False,False,2026-08-13T07:03:58+00:00,usdc,2026-08-13T07:10:01Z
bitcoin,EUR,BTC,EURC,Kraken,kraken,46035,0.01018,119004.39921909937,79322.31140673239,,False,False,2026-08-13T07:03:56+00:00,eurc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Kanga Global,kanga,45586,0.346891,147997.3742744,165690.31548986735,,False,False,2026-08-13T07:06:10+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,WETH,Alien Base V3,alien-base-v3,45545,0.618879,797.1893659339207,794.7940819821359,,False,False,2026-08-13T07:07:35+00:00,l2-standard-bridged-weth-base,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Bybit EU,bybit-eu,42410,0.060748,190107.70556580593,232701.32631986417,,False,False,2026-08-13T04:18:02+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,PLN,Kanga Global,kanga,38922,0.715803,158817.26057653016,123674.63791176415,,False,False,2026-08-13T07:05:09+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Supernova (CL),supernova-cl,33068,0.616342,317.0932342886896,316.14047655286424,,False,False,2026-08-13T05:02:28+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Base),uniswap-v4-base,32811,0.604246,2877.7039071555773,2869.0573818990306,,False,False,2026-08-13T07:03:20+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,VCNT,Uniswap V3 (Base),uniswap-v3-base,31177,0.629767,1171.095573119431,1167.5768276968638,,False,True,2026-08-13T07:05:57+00:00,vicicoin,2026-08-13T07:10:01Z
ethereum,EUR,ETH,EURC,Kraken,kraken,30778,0.010608,3593.4394171670124,64993.396152519934,,False,False,2026-08-13T06:30:48+00:00,eurc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Dexalot,dexalot,28523,0.069444,2673.763297567928,1279.107516827499,,False,False,2026-08-13T06:59:18+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,EURE,Uniswap V3 (Ethereum),uniswap_v3,22211,0.624873,658.3236705036597,656.3456309180586,,False,False,2026-08-13T06:58:26+00:00,monerium-eur-money,2026-08-13T07:10:01Z
eurc,EUR,EURC,WETH,PancakeSwap V3 (Base),pancakeswap-v3-base,22188,0.615695,666.6937734982595,664.690584589004,,False,False,2026-08-13T07:06:10+00:00,l2-standard-bridged-weth-base,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Quickswap V4 (Base),quickswap-v4-base,22067,0.60678,1699.8489314695396,1694.7414613501437,,False,False,2026-08-13T07:02:24+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Alien Base V3,alien-base-v3,17105.6,0.604861,2249.92784752555,2243.167576633655,,False,False,2026-08-13T07:07:35+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,15667.67,0.603579,19156.8816614788,19099.321722559867,,False,False,2026-08-13T01:56:07+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,JPYC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,12811.27,0.613348,1234.1761948778394,1230.4679135590056,,False,False,2026-08-13T06:52:10+00:00,jpycoin,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Base),uniswap-v4-base,11840.29,-212.907176,181.32109402306205,180.776285568267,,False,False,2026-08-13T05:13:04+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Treble V4,treble-v4,9333.22,0.609058,806.6533496784265,804.2296296619476,,False,False,2026-08-13T07:04:44+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,WSOL,Raydium (CLMM),raydium-clmm,9190.8,0.810408,398.49460866445,397.29726737793084,,False,False,2026-08-13T07:06:46+00:00,wrapped-sol-2,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,DefiTuna,fusion-amm,8594.14,0.692064,52.70269499878522,52.5443412563234,,False,False,2026-08-13T06:35:37+00:00,usdc,2026-08-13T07:10:01Z
solana,EUR,SOL,EURC,Kraken,kraken,8141.66,0.030157,78862.12856506456,54171.94150062538,,False,False,2026-08-13T05:58:10+00:00,eurc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,VALR,valr,7331.44,0.19079,57688.36978771458,57469.7379435643,,False,False,2026-08-13T07:07:43+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,WETH,Hydrex Integral,hydrex-integral,5926.09,0.71768,164.68544728777294,164.1906233151541,,False,False,2026-08-13T07:02:25+00:00,l2-standard-bridged-weth-base,2026-08-13T07:10:01Z
eurc,EUR,EURC,XLM,StellarTerm,stellar_term,5527.23,,,,,False,False,2026-08-13T07:07:41+00:00,stellar,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDT,Uniswap V3 (Ethereum),uniswap_v3,5503.5,0.613651,585.9375520084619,584.1770081840599,,False,False,2026-08-13T06:55:11+00:00,tether,2026-08-13T07:10:01Z
eurc,EUR,EURC,WSOL,Orca,orca,5359.84,1.051997,553.4915858950544,551.8285312059227,,False,False,2026-08-13T07:05:52+00:00,wrapped-sol-2,2026-08-13T07:10:01Z
eurc,EUR,EURC,ETH,Uniswap V4 (Ethereum),uniswap-v4-ethereum,5275.01,0.604244,8616.58248775189,8590.692576729352,,False,True,2026-08-13T04:01:54+00:00,ethereum,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDT,Uniswap V4 (Ethereum),uniswap-v4-ethereum,4997.24,0.607193,1085.7444381690827,1082.4821439895318,,False,False,2026-08-13T07:03:47+00:00,tether,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Base),uniswap-v4-base,4609.22,0.611345,998.8121206122354,995.8110285937187,,False,False,2026-08-13T07:03:20+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,EUR,Bybit EU,bybit-eu,4366.8,0.039992,169051.8058478872,178426.95181470862,,False,False,2026-08-13T04:17:07+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,De¹,openocean_finance,4250.41,,,,,True,False,2026-08-12T21:18:55+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Pancakeswap V3 (Solana),pancakeswap-v3-solana,4094.62,0.626001,203.8179713690918,203.2055674199576,,False,False,2026-08-13T07:06:01+00:00,usdc,2026-08-13T07:10:01Z
tether,EUR,USDT,EURC,De¹,openocean_finance,3813.83,,,,,True,False,2026-08-09T20:34:17+00:00,eurc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,3813.24,0.631819,193.66874202165664,193.08683306808777,,False,False,2026-08-13T06:46:57+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,EUR,Bitstamp by Robinhood,bitstamp,3789.54,0.497512,22496.556597416984,18118.30042696994,,False,False,2026-08-13T04:56:17+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V3 (Base),uniswap-v3-base,3707.76,1.165606,30.73133438488783,30.638997137033527,,False,False,2026-08-13T07:03:58+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Blackhole V3,blackhole-v3,3652.69,1.295724,51.58842482321213,51.43341908510606,,False,False,2026-08-13T06:55:19+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,LFJ V2.2 (Avalanche),traderjoe-v2-2-avalanche,3587.44,0.63076,214.43905451864433,213.7947378131365,,False,False,2026-08-13T06:55:07+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDT,XBO.com,xbo_com,3507.91,0.052016,27806523.14861442,27774079.90531269,,False,False,2026-08-13T06:57:48+00:00,tether,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Balancer V3 (Base),balancer-v3-base,2958.08,0.632035,210.5255828283885,209.89302477940072,,False,False,2026-08-13T06:34:54+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,HOLLAR,Hydration,hydradx,2784.92,,,,,False,False,2026-08-13T04:41:28+00:00,hydrated-dollar,2026-08-13T07:10:01Z
eurc,EUR,EURC,WETH,Aerodrome SlipStream,aerodrome-slipstream,2669.68,0.679306,339.28911732758496,338.2696684833346,,False,False,2026-08-13T07:06:58+00:00,l2-standard-bridged-weth-base,2026-08-13T07:10:01Z
eurc,EUR,EURC,USD,OKX,okex,2355.67,0.052138,115190.06398612,114824.45466381,,False,False,2026-08-13T06:47:46+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,ETH,Uniswap V4 (Base),uniswap-v4-base,2338.84,0.61704,1860.8163590622685,1855.2252363597488,,False,False,2026-08-13T05:16:37+00:00,ethereum,2026-08-13T07:10:01Z
eurc,EUR,EURC,WBTC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,2140.68,0.620557,334.0623864639415,333.0586421750866,,False,False,2026-08-13T05:16:51+00:00,wrapped-bitcoin,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDT,CoinEx,coinex,2057.9,0.50134,264.0257378267962,361.4566364690497,,False,False,2026-08-13T07:05:19+00:00,tether,2026-08-13T07:10:01Z
eurc,EUR,EURC,ZCHF,Uniswap V4 (Ethereum),uniswap-v4-ethereum,1946.17,1.548007,194.39086433748446,193.80678565101618,,False,False,2026-08-13T05:01:42+00:00,frankencoin,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Manifest,manifest,1725.01,0.168741,2615.797637654268,2.3018134458716444e-06,,False,False,2026-08-13T05:33:29+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,EUR0,Uniswap V3 (Ethereum),uniswap_v3,1329.54,0.605098,2090.4614471989994,2084.180318811851,,False,False,2026-08-13T05:53:23+00:00,usual-eur,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Blackhole V2,blackhole-v2,1325.91,0.607664,2516.5955464071412,2509.0340294288258,,False,False,2026-08-13T06:54:26+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,WSOL,Meteora,meteora,1233.67,0.747789,77.12101139170676,76.88928888156569,,False,False,2026-08-13T07:02:16+00:00,wrapped-sol-2,2026-08-13T07:10:01Z
eurc,EUR,EURC,USD+,Aerodrome SlipStream,aerodrome-slipstream,1195.46,0.684128,99.4636609793255,99.16480637700596,,False,False,2026-08-13T06:35:48+00:00,overnight-fi-usd-base,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Base),uniswap-v4-base,1043.21,0.620589,314.10423235924407,313.16045556152375,,False,False,2026-08-13T07:00:59+00:00,usdc,2026-08-13T07:10:01Z
eurc,EUR,EURC,EUR,XBO.com,xbo_com,982.46,0.054984,27797662.08905439,27766067.23480813,,False,False,2026-08-13T06:57:48+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USD,Crypto.com Exchange,crypto_com,660.45,5.150902,0.0,0.0,,True,True,2026-08-12T17:45:01+00:00,,2026-08-13T07:10:01Z
eurc,EUR,EURC,USDC,Uniswap V4 (Base),uniswap-v4-base,619.16,0.608827,2303.2937234904957,2296.373106222025,,True,False,2026-08-12T21:35:10+00:00,usdc,2026-08-13T07:10:01Z
monerium-eur-money,EUR,EURE,EURC,Uniswap V3 (Ethereum),uniswap_v3,564.32,0.62505,209.83222398749805,209.20174924691273,,False,False,2026-08-12T23:16:03+00:00,eurc,2026-08-13T07:10:01Z
