base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,BRL,Binance,binance,80408469,0.011941,4295401.212847473,1749309.0835592924,,False,False,2026-09-05T09:19:28+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,Kraken,kraken,70526163,0.011609,2844443.2834254326,3394699.6842315597,,False,False,2026-09-05T09:18:06+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,Bybit,bybit_spot,60987248,0.011608,1784394.2094526323,3971083.1903731585,,False,False,2026-09-05T09:19:26+00:00,2026-09-05T09:21:21Z
tether,USDT,BRL,Foxbit,foxbit,50286646,0.011941,13391210.861260232,3192763.904071868,,False,False,2026-09-05T09:18:01+00:00,2026-09-05T09:21:21Z
tether,USDT,PHP,Coins.ph,coinspro,40150893,0.015954,6535922.312854066,6074209.478318041,,False,False,2026-09-05T09:19:22+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,Niza.io,niza-global,35233854,0.011609,1392754.0272825572,1685804.436640187,,False,False,2026-09-05T09:19:23+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,Binance,binance,29905921,0.020738,5492638.526315503,2111489.2982456936,,False,False,2026-09-05T09:19:28+00:00,2026-09-05T09:21:21Z
tether,USDT,BRL,OKX,okex,16594388,0.011941,1720391.6525872222,1133498.3968365889,,False,False,2026-09-05T09:19:29+00:00,2026-09-05T09:21:21Z
tether,USDT,THB,Bitkub,bitkub,16525726,0.030331,1959211.0563250822,1448179.8026157294,,False,False,2026-09-05T09:19:28+00:00,2026-09-05T09:21:21Z
tether,USDT,ZAR,VALR,valr,16263188,0.010621,651947.9992583428,1552098.6790385838,,False,False,2026-09-05T09:19:27+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,Bitstamp by Robinhood,bitstamp,14610284,0.019286,460519.1548287524,499818.4284916017,,False,False,2026-09-05T09:10:52+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,Coinbase Exchange,gdax,13300729,0.012322,304444.9000083621,352211.1864426327,,False,False,2026-09-05T09:16:17+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,OKX,okex,8599817,0.018275,858492.1268159506,1888876.3921590343,,False,False,2026-09-05T09:19:29+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,CEX.IO,cex,7033086,0.0116,2913229.0570331314,3775684.4874716587,,False,False,2026-09-05T09:12:12+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,Paribu,paribu,6518847,0.012074,244860.80921755536,2719079.2665268676,,False,False,2026-09-05T09:19:28+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,WhiteBIT,whitebit,5885250,0.020691,3286230.634400283,302111.01478472276,,False,False,2026-09-05T09:19:31+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,BtcTurk | Kripto,btcturk,5414207,0.06836,311929.04310842097,523948.59605352615,,False,False,2026-09-05T09:19:24+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,CoinTR,cointr,4929212,0.02073,6158600.990809209,3663525.773347408,,False,False,2026-09-05T09:19:27+00:00,2026-09-05T09:21:21Z
tether,USDT,IDR,Indodax,indodax,4819930,,,,,False,False,2026-09-05T09:19:31+00:00,2026-09-05T09:21:21Z
tether,USDT,MXN,Bitso,bitso,3263727,0.01592,348843.8371571357,448883.3197338368,,False,False,2026-09-05T09:18:45+00:00,2026-09-05T09:21:21Z
tether,USDT,THB,Bitazza,bitazza,3147349,0.030331,979369.9399073445,1389215.5346856469,,False,False,2026-09-05T09:18:40+00:00,2026-09-05T09:21:21Z
tether,USDT,BRL,Bybit,bybit_spot,3072159,0.015528,456338.71810272516,3088185.3438152275,,False,False,2026-09-05T09:19:26+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,OKX,okex,2996309,0.011608,1342063.2741641083,1681112.5140087744,,False,False,2026-09-05T09:19:29+00:00,2026-09-05T09:21:21Z
tether,USDT,ARS,Bitso,bitso,2907251,0.069161,132130.40423130945,187273.4032343647,,False,False,2026-09-05T09:18:05+00:00,2026-09-05T09:21:21Z
tether,USDT,ARS,Binance,binance,2263069,0.016318,146864.14862544864,123408.7912546902,,False,False,2026-09-05T09:19:28+00:00,2026-09-05T09:21:21Z
tether,USDT,BRL,Mercado Bitcoin,mercado_bitcoin,1997161,0.01194,163995.9965215204,289374.24140765466,,False,False,2026-09-05T09:18:44+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,WhiteBIT,whitebit,1754602,0.011608,3750513.955572977,11347698.059791181,,False,False,2026-09-05T09:19:31+00:00,2026-09-05T09:21:21Z
tether,USDT,IDR,Binance,binance,1660559,0.015687,1087374.661221272,285413.9010702861,,False,False,2026-09-05T09:20:42+00:00,2026-09-05T09:21:21Z
tether,USDT,UAH,WhiteBIT,whitebit,1560688,0.046041,19019.623473608397,15668.005922821474,,False,False,2026-09-05T09:20:38+00:00,2026-09-05T09:21:21Z
tether,USDT,IDR,TokoCrypto,toko_crypto,1465210,0.015687,1078646.2055011685,283769.2167678154,,False,False,2026-09-05T09:20:41+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,KuCoin,kucoin,1290572,0.011598,191008.87646111054,201303.9744314716,,False,False,2026-09-05T09:20:43+00:00,2026-09-05T09:21:21Z
tether,USDT,IDR,OSL Exchange,osl-exchange,1044880,0.017048,1560544.351951084,1001547.6476643928,,False,False,2026-09-05T09:20:39+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,Bitget,bitget,1025657,0.011596,1458148.6890119973,2280734.000673612,,False,False,2026-09-05T09:20:45+00:00,2026-09-05T09:21:21Z
tether,USDT,MXN,Binance,binance,949431,0.059172,263965.9463972713,84366.73693685158,,False,False,2026-09-05T09:19:57+00:00,2026-09-05T09:21:21Z
tether,USDT,BRL,Bitso,bitso,873229,0.027175,68448.39117926959,53362.127137310206,,False,False,2026-09-05T09:20:36+00:00,2026-09-05T09:21:21Z
tether,USDT,CLP,Buda,buda,764514,0.515486,349412.94989694864,330838.89581219904,,False,False,2026-09-05T09:19:20+00:00,2026-09-05T09:21:21Z
tether,USDT,INR,KoinBX,koinbazar,746896,0.012018,41548.82859897332,41932.9686857692,,False,False,2026-09-05T09:20:39+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,SAFEbit,bitci,704464,0.087451,2348378.1358699286,2247384.8969652667,,False,False,2026-09-05T09:20:51+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,Bybit,bybit_spot,651916,1.55102,101.15606518761085,338709.70690711366,,False,False,2026-09-05T09:20:41+00:00,2026-09-05T09:21:21Z
tether,USDT,INR,Koinpark,koinpark,617258,0.010013,4034159.9070279966,3443107.613022919,,False,False,2026-09-05T09:18:21+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,XBO.com,xbo_com,507182,0.054551,56596254.91949414,56280668.70954253,,False,False,2026-09-05T09:20:47+00:00,2026-09-05T09:21:21Z
tether,USDT,INR,CoinDCX,coindcx,482754,0.01,17.155428713634066,35.740476486737634,,False,False,2026-09-05T09:20:44+00:00,2026-09-05T09:21:21Z
tether,USDT,ZAR,Binance,binance,436333,0.01062,55094.82869260968,81923.94244677565,,False,False,2026-09-05T09:21:49+00:00,2026-09-05T09:21:21Z
tether,USDT,EUR,Kanga Global,kanga,288138,0.521075,264558.01744966884,291951.5209823627,,False,False,2026-09-05T09:18:05+00:00,2026-09-05T09:21:21Z
tether,USDT,BRL,Bitget,bitget,270371,0.038647,277054.49294813024,582601.4339582155,,False,False,2026-09-05T09:20:17+00:00,2026-09-05T09:21:21Z
tether,USDT,TRY,Bitexen,bitexen,263591,0.373388,95125.84690747948,90195.05916700831,,False,False,2026-09-05T09:21:42+00:00,2026-09-05T09:21:21Z
tether,USDT,SGD,OKX,okex,216347,0.055162,369787.1508351068,430058.3766676913,,False,False,2026-09-05T09:19:29+00:00,2026-09-05T09:21:21Z
