id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.15,454593044,21315387,394694632.4973181,-0.2,2026-08-07T06:57:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.15,159291131,8492624,138336016.36,-0.3,2026-08-07T06:57:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,262.8,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.194718,56448787,8118.79,289900657.3127128,0.6,2026-08-07T06:57:20.000Z
eurite,euri,Eurite,EUR,1.15,38183863,13310760,33139851.48990108,-0.2,2026-08-07T06:57:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.15,32248140,447335,27982933.53235432,-0.3,2026-08-07T06:57:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.15,27164962,618907,23584282.91485216,-0.3,2026-08-07T06:57:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.194914,22864049,122547,117303244.7615292,0.4,2026-08-07T06:57:20.000Z
xsgd,xsgd,XSGD,SGD,0.779745,12191509,591313,15635242.029569,-0.1,2026-08-07T06:57:20.000Z
stablr-euro,eurr,StablR Euro,EUR,0.59938,10275194,42.57,17143032.563007,-4.0,2026-08-07T06:57:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.503e-05,9567580,29.88,173856905811.0,0.8,2026-08-07T06:57:20.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.2,7064142,862.06,5907155.64,1.1,2026-08-07T06:57:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.13,6779848,3523044,6000000.0,1.7,2026-08-07T06:57:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.06085,4501677,15995.61,73979922.21510787,0.5,2026-08-07T06:57:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01626867,3660645,2243.14,225011899.7613014,0.4,2026-08-07T06:57:20.000Z
vnx-euro,veur,VNX EURO,EUR,1.043,2884205,0.104,2764082.75105,260.7,2026-06-21T12:25:40.000Z
par-stablecoin,par,Parallel,EUR,1.23,2767182,35.09,2240894.0,0.6,2026-08-07T06:57:20.000Z
brl1,brl1,BRL1,BRL,0.195799,2355640,597200,12030917.54,0.3,2026-08-07T06:57:20.000Z
mxnb,mxnb,MXNB,MXN,0.057958,2100594,16319.09,36243671.08821,0.1,2026-08-07T06:57:20.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00071662,1740345,2562.53,2428549216.197958,-0.1,2026-08-07T06:57:20.000Z
bilira,tryb,BiLira,TRY,0.02038334,1737328,30.07,85232722.478113,-3.4,2026-08-07T05:02:20.000Z
celo-euro,eurm,Mento Euro,EUR,1.15,1721902,49.5,1495701.420723331,-0.1,2026-08-07T06:57:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,0.0,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.15,1659245,6313.46,1441073.470033253,0.7,2026-08-07T06:57:20.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.193979,1592595,273.23,8210152.499999999,-1.3,2026-08-07T06:57:20.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,0.1,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.583e-05,1034822,14350.61,18534124233.14,0.3,2026-08-07T06:57:20.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.15,624039,210.3,542527.5715220148,-2.0,2026-08-07T06:57:20.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.15,532733,3327117,462515.7136,-0.3,2026-08-07T06:57:20.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.194857,211545,2890.65,1085637.371990238,0.0,2026-08-07T06:57:20.000Z
tether-eurt,eurt,Euro Tether,EUR,0.04756278,197571,1.8,4153902.7318629995,13.4,2026-08-07T06:57:20.000Z
argentine-peso,wars,Argentine Peso,ARS,0.00063498,184780,6688.24,291000000.0,-0.2,2026-08-07T06:57:20.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.15,184441,2545.83,160000.0,-0.3,2026-08-07T06:57:20.000Z
celo-kenyan-shilling,kesm,Mento Kenyan Shilling,KES,0.00772773,164533,40.71,21291228.39702464,-0.1,2026-08-07T06:57:20.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00031156,86272,1422.5,276898753.7968985,0.8,2026-08-07T06:57:20.000Z
real-mxn,mxne,Real MXN,MXN,0.04874658,69659,6.28,1428994.67,-16.3,2026-08-07T06:57:20.000Z
celo-nigerian-naira,ngnm,Mento Nigerian Naira,NGN,0.00073052,56599,9.94,77476873.2520525,0.0,2026-06-24T03:06:20.000Z
mexican-peso,wmxn,Mexican Peso,MXN,0.058072,56260,199.64,968788.6930900001,-0.6,2026-08-07T06:57:20.000Z
celo-south-african-rand,zarm,Mento South African Rand,ZAR,0.060835,49555,2.18,814578.4324331186,0.8,2026-08-05T21:58:00.000Z
puso,phpm,Mento Philippine Peso,PHP,0.01643417,26207,2.94,1594686.906908685,0.0,2026-08-06T23:06:20.000Z
ccop,copm,Mento Colombian Peso,COP,0.00031541,22054,55.81,69922587.29663494,0.8,2026-08-07T05:19:20.000Z
seur,seur,sEUR,EUR,0.01848619,18393.83,0.924309,995003.8666365609,0.7,2026-06-27T06:42:30.000Z
stablenaira,snr,StableNaira,NGN,0.0,3.9618e-14,14.94,27600988.77,-100.0,2026-07-23T17:18:30.000Z
real-usd,usdr,Real USD,BRL,0.456883,0.0,13.66,0.0,-0.7,2026-08-07T06:57:20.000Z
