base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,BRL,Binance,binance,79221463,0.011945,679513.9642081837,3455183.52212049,,False,False,2026-08-06T08:04:07+00:00,2026-08-06T08:05:39Z
tether,USDT,PHP,Coins.ph,coinspro,51614075,0.016477,4966769.530993461,4792999.1138322,,False,False,2026-08-06T08:03:49+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,Kraken,kraken,51571663,0.011554,4914590.395214446,4598206.817821322,,False,False,2026-08-06T08:03:32+00:00,2026-08-06T08:05:39Z
tether,USDT,BRL,Foxbit,foxbit,31152249,0.011945,9673787.44579338,3035033.052444899,,False,False,2026-08-06T07:59:40+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,Binance,binance,28903350,0.021053,3693941.7521641566,900296.365572363,,False,False,2026-08-06T08:04:08+00:00,2026-08-06T08:05:39Z
tether,USDT,ZAR,VALR,valr,27425348,0.010607,149018.45710039005,2405206.1905113026,,False,False,2026-08-06T08:03:47+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,Niza.io,niza-global,25780063,0.011553,1830362.3748477313,2310643.102346946,,False,False,2026-08-06T08:04:02+00:00,2026-08-06T08:05:39Z
tether,USDT,THB,Bitkub,bitkub,16347379,0.030285,1794477.1090229887,1611948.6647731396,,False,False,2026-08-06T08:03:25+00:00,2026-08-06T08:05:39Z
tether,USDT,BRL,OKX,okex,15658777,0.011945,1236033.9060641103,1358074.5741339824,,False,False,2026-08-06T08:02:14+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,SAFEbit,bitci,14184534,0.087451,2348378.1358699286,2247384.8969652667,,False,False,2026-08-06T08:03:22+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,Bitstamp by Robinhood,bitstamp,9618346,0.011155,1178467.4742318958,676738.349153661,,False,False,2026-08-06T08:01:46+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,Coinbase Exchange,gdax,8262265,0.011156,429434.71346302144,297761.11129281763,,False,False,2026-08-06T08:03:27+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,OKX,okex,8214886,0.012105,884683.6803358253,2522770.5953489635,,False,False,2026-08-06T08:02:24+00:00,2026-08-06T08:05:39Z
tether,USDT,IDR,Indodax,indodax,7191821,,,,,False,False,2026-08-06T08:04:00+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,OKX,okex,6476284,0.01155,1504448.130282049,1882751.0975045138,,False,False,2026-08-06T08:02:24+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,Paribu,paribu,6400984,0.018421,179008.84239320087,3282904.0275895684,,False,False,2026-08-06T08:03:24+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,CoinTR,cointr,4898050,0.042096,5624626.683750652,3156406.875589565,,False,False,2026-08-06T08:03:59+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,WhiteBIT,whitebit,4776132,0.021044,4305535.76205517,649168.9052049574,,False,False,2026-08-06T08:04:05+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,Bybit,bybit_spot,4311888,0.011554,2705668.416922949,4536837.839148173,,False,False,2026-08-06T08:03:27+00:00,2026-08-06T08:05:39Z
tether,USDT,BRL,Bybit,bybit_spot,3740714,0.011945,1951775.204146494,1433332.8829337812,,False,False,2026-08-06T08:03:27+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,BtcTurk | Kripto,btcturk,3527097,0.012641,208101.5294183669,409364.02927670424,,False,False,2026-08-06T08:03:49+00:00,2026-08-06T08:05:39Z
tether,USDT,IDR,TokoCrypto,toko_crypto,2773183,0.039152,581993.4457350976,309432.379948532,,False,False,2026-08-06T08:04:06+00:00,2026-08-06T08:05:39Z
tether,USDT,MXN,Bitso,bitso,2591977,0.0158,302601.19008176617,347370.3522486734,,False,False,2026-08-06T08:03:22+00:00,2026-08-06T08:05:39Z
tether,USDT,THB,Bitazza,bitazza,2473829,0.030285,1107553.4461584997,1293573.142165759,,False,False,2026-08-06T08:03:00+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,Bitget,bitget,2429534,0.011553,516309.13127199176,1834269.6548961478,,False,False,2026-08-06T08:04:22+00:00,2026-08-06T08:05:39Z
tether,USDT,IDR,Binance,binance,1716711,0.015591,697755.8008037668,367434.5409321325,,False,False,2026-08-06T08:04:26+00:00,2026-08-06T08:05:39Z
tether,USDT,UAH,WhiteBIT,whitebit,1472825,0.023031,21522.097691932464,18390.309763401303,,False,False,2026-08-06T08:04:22+00:00,2026-08-06T08:05:39Z
tether,USDT,BRL,Mercado Bitcoin,mercado_bitcoin,1433929,0.011944,107960.49786690225,292386.8300735593,,False,False,2026-08-06T08:02:58+00:00,2026-08-06T08:05:39Z
tether,USDT,ARS,Bitso,bitso,1326006,0.077788,287089.8453331468,139565.67903977667,,False,False,2026-08-06T08:04:11+00:00,2026-08-06T08:05:39Z
tether,USDT,ARS,Binance,binance,1178212,0.016337,91357.60318571755,339254.90799059655,,False,False,2026-08-06T08:04:25+00:00,2026-08-06T08:05:39Z
tether,USDT,MXN,Binance,binance,1130300,0.058005,345075.52311491384,175849.83412959363,,False,False,2026-08-06T08:04:26+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,KuCoin,kucoin,1026043,0.035889,9831.866282116107,20723.438609587265,,False,False,2026-08-06T08:04:26+00:00,2026-08-06T08:05:39Z
tether,USDT,INR,Giottus,giottus,1010461,0.492462,195337.99493678389,58490.600907701126,,False,False,2026-08-06T07:56:28+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,XBO.com,xbo_com,1010294,0.043897,55965737.94547232,55937989.07485174,,False,False,2026-08-06T08:04:23+00:00,2026-08-06T08:05:39Z
tether,USDT,SGD,OKX,okex,906899,0.046784,294787.17736886453,486136.0711922333,,False,False,2026-08-06T08:00:38+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,WhiteBIT,whitebit,898355,0.011551,9343489.958548056,10022719.629563442,,False,False,2026-08-06T08:04:22+00:00,2026-08-06T08:05:39Z
tether,USDT,BRL,Bitso,bitso,889605,0.015835,90428.95373985839,31603.932081638544,,False,False,2026-08-06T08:04:11+00:00,2026-08-06T08:05:39Z
tether,USDT,INR,KoinBX,koinbazar,754522,0.011994,34335.662432248486,34705.245287428814,,False,False,2026-08-06T08:01:25+00:00,2026-08-06T08:05:39Z
tether,USDT,INR,Koinpark,koinpark,614254,0.010016,8446955.97785646,3298563.7187514,,False,False,2026-08-06T08:04:30+00:00,2026-08-06T08:05:39Z
tether,USDT,INR,CoinDCX,coindcx,534833,0.01,7.658090081998081,37.72318447799054,,False,False,2026-08-06T08:04:24+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,Bitexen,bitexen,380185,0.316322,98208.03879815999,94869.40183361633,,False,False,2026-08-06T08:05:24+00:00,2026-08-06T08:05:39Z
tether,USDT,BRL,Bitget,bitget,375500,0.077429,120236.70999921912,686120.1039551774,,False,False,2026-08-06T08:02:59+00:00,2026-08-06T08:05:39Z
tether,USDT,CLP,Buda,buda,250255,0.450652,334835.64569013665,240126.16995746962,,False,False,2026-08-06T07:41:08+00:00,2026-08-06T08:05:39Z
tether,USDT,ZAR,Binance,binance,235143,0.06079,80888.13755946237,84893.52853963495,,False,False,2026-08-06T08:05:21+00:00,2026-08-06T08:05:39Z
tether,USDT,EUR,Kanga Global,kanga,209395,0.518553,369113.87996733293,356576.3839592681,,False,False,2026-08-06T08:05:07+00:00,2026-08-06T08:05:39Z
tether,USDT,SGD,Independent Reserve,independent_reserve,198774,0.092983,916744.8377878529,483630.3530143929,,False,False,2026-08-06T08:05:55+00:00,2026-08-06T08:05:39Z
tether,USDT,TRY,Bybit,bybit_spot,154228,0.042088,14064.55507420005,1586705.6739642755,,False,False,2026-08-06T08:00:26+00:00,2026-08-06T08:05:39Z
tether,USDT,THB,Orbix,tdax,134926,0.030294,88339.92925677811,81945.68748638837,,False,False,2026-08-06T07:57:09+00:00,2026-08-06T08:05:39Z
tether,USDT,IDR,Bittime,bittime,131199,0.015606,406850.2749578044,446803.82009783096,,False,False,2026-08-06T08:06:36+00:00,2026-08-06T08:05:39Z
