date,collected_utc,venue,pair,corridor,stablecoin,off_ramp_action,raw_file,raw_sha256,threshold_bps,reference_mid,best_bid,best_ask,executable_stablecoin_usd,quote_proceeds,book_covers_threshold,depth_is_lower_bound,levels_used
2026-09-13,2026-09-13T10:46:40.447819+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,194ebe4d3f4421484eb718829a1b0a6340cf12725c946db50d74b766cb560eaf,10,16.17655,16.1765,16.1766,33990.4162,549641.98973744,True,False,7
2026-09-13,2026-09-13T10:46:40.447819+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,194ebe4d3f4421484eb718829a1b0a6340cf12725c946db50d74b766cb560eaf,50,16.17655,16.1765,16.1766,193769.99869999997,3125258.40337364,True,False,21
2026-09-13,2026-09-13T10:46:40.447819+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,194ebe4d3f4421484eb718829a1b0a6340cf12725c946db50d74b766cb560eaf,100,16.17655,16.1765,16.1766,373257.82569999987,6008004.295157641,True,False,40
2026-09-13,2026-09-13T10:46:40.447819+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,194ebe4d3f4421484eb718829a1b0a6340cf12725c946db50d74b766cb560eaf,200,16.17655,16.1765,16.1766,381560.2347999998,6140452.179628122,True,False,47
2026-09-13,2026-09-13T10:46:40.676067+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2e697f6345acf4a8122005b9b6ca685d0a040a45caabf0432f4d25b9bedd1e5b,10,33.085,33.08,33.09,1039692.26,34392362.4503,True,False,3
2026-09-13,2026-09-13T10:46:40.676067+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2e697f6345acf4a8122005b9b6ca685d0a040a45caabf0432f4d25b9bedd1e5b,50,33.085,33.08,33.09,1104819.6200000003,36542103.6344,True,False,17
2026-09-13,2026-09-13T10:46:40.676067+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2e697f6345acf4a8122005b9b6ca685d0a040a45caabf0432f4d25b9bedd1e5b,100,33.085,33.08,33.09,1180909.1000000003,39038297.6557,True,False,31
2026-09-13,2026-09-13T10:46:40.676067+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2e697f6345acf4a8122005b9b6ca685d0a040a45caabf0432f4d25b9bedd1e5b,200,33.085,33.08,33.09,1303299.7899999998,43028072.096499994,True,False,54
