date,collected_utc,venue,pair,corridor,stablecoin,off_ramp_action,raw_file,raw_sha256,requested_stablecoin_usd,filled_stablecoin_usd,fill_rate,quote_proceeds,vwap_quote_per_stablecoin,average_slippage_bps,terminal_impact_bps,levels_used,book_exhausted
2026-09-17,2026-09-17T10:35:14.811798+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fbc19c5e5aed29be7843d88ef1f5e6f5f4be48b3d203e2c94345635526e77244,1000,1000.0,1.0,16332.2,16.3322,0.030614275438045624,0.030614275438045624,1,False
2026-09-17,2026-09-17T10:35:14.811798+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fbc19c5e5aed29be7843d88ef1f5e6f5f4be48b3d203e2c94345635526e77244,5000,5000.0,1.0,81661.0,16.3322,0.030614275438045624,0.030614275438045624,1,False
2026-09-17,2026-09-17T10:35:14.811798+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fbc19c5e5aed29be7843d88ef1f5e6f5f4be48b3d203e2c94345635526e77244,10000,10000.0,1.0,163322.0,16.3322,0.030614275438045624,0.030614275438045624,1,False
2026-09-17,2026-09-17T10:35:14.811798+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fbc19c5e5aed29be7843d88ef1f5e6f5f4be48b3d203e2c94345635526e77244,25000,25000.0,1.0,408305.0,16.3322,0.030614275438045624,0.030614275438045624,1,False
2026-09-17,2026-09-17T10:35:14.811798+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fbc19c5e5aed29be7843d88ef1f5e6f5f4be48b3d203e2c94345635526e77244,50000,50000.0,1.0,816610.0,16.3322,0.030614275438045624,0.030614275438045624,1,False
2026-09-17,2026-09-17T10:35:14.811798+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,fbc19c5e5aed29be7843d88ef1f5e6f5f4be48b3d203e2c94345635526e77244,100000,100000.0,1.0,1633220.0,16.3322,0.030614275438045624,0.030614275438045624,1,False
2026-09-17,2026-09-17T10:35:15.070440+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,448693e8da2dd16c8a7073cb476e5e6425296161b6bfecff0234a17a22a0565c,1000,1000.0,1.0,33270.0,33.27,1.5026296018039176,1.5026296018039176,1,False
2026-09-17,2026-09-17T10:35:15.070440+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,448693e8da2dd16c8a7073cb476e5e6425296161b6bfecff0234a17a22a0565c,5000,5000.0,1.0,166350.00000000003,33.27,1.5026296018039176,1.5026296018039176,1,False
2026-09-17,2026-09-17T10:35:15.070440+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,448693e8da2dd16c8a7073cb476e5e6425296161b6bfecff0234a17a22a0565c,10000,10000.0,1.0,332700.00000000006,33.27,1.5026296018039176,1.5026296018039176,1,False
2026-09-17,2026-09-17T10:35:15.070440+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,448693e8da2dd16c8a7073cb476e5e6425296161b6bfecff0234a17a22a0565c,25000,25000.0,1.0,831750.0000000001,33.27,1.5026296018039176,1.5026296018039176,1,False
2026-09-17,2026-09-17T10:35:15.070440+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,448693e8da2dd16c8a7073cb476e5e6425296161b6bfecff0234a17a22a0565c,50000,50000.0,1.0,1663500.0000000002,33.27,1.5026296018039176,1.5026296018039176,1,False
2026-09-17,2026-09-17T10:35:15.070440+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,448693e8da2dd16c8a7073cb476e5e6425296161b6bfecff0234a17a22a0565c,100000,100000.0,1.0,3327000.0000000005,33.27,1.5026296018039176,1.5026296018039176,1,False
