base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,PHP,Coins.ph,coinspro,48327022,0.015952,6204437.6604266185,6805795.458843387,,False,False,2026-09-13T10:34:48+00:00,2026-09-13T10:36:45Z
tether,USDT,BRL,Binance,binance,21968783,0.011942,5258569.12954905,1418444.1400386696,,False,False,2026-09-13T10:34:52+00:00,2026-09-13T10:36:45Z
tether,USDT,TRY,Binance,binance,13926121,0.020602,4082439.875489401,4162502.7687186,,False,False,2026-09-13T10:34:52+00:00,2026-09-13T10:36:45Z
tether,USDT,THB,Bitkub,bitkub,7643993,0.030221,1669513.6077765424,1257277.399444251,,False,False,2026-09-13T10:34:55+00:00,2026-09-13T10:36:45Z
tether,USDT,TRY,WhiteBIT,whitebit,6015963,0.020585,2949495.156939148,335894.58592539554,,False,False,2026-09-13T10:34:59+00:00,2026-09-13T10:36:45Z
tether,USDT,EUR,Kraken,kraken,5243254,0.011594,3153609.951020164,3637573.536771046,,False,False,2026-09-13T10:34:50+00:00,2026-09-13T10:36:45Z
tether,USDT,TRY,Paribu,paribu,5163392,0.012058,418500.8014716322,2751225.708062751,,False,False,2026-09-13T10:34:52+00:00,2026-09-13T10:36:45Z
tether,USDT,EUR,Coinbase Exchange,gdax,4168326,0.012319,327138.3223098431,325591.71111564874,,False,False,2026-09-13T10:34:48+00:00,2026-09-13T10:36:45Z
tether,USDT,IDR,Indodax,indodax,3789667,,,,,False,False,2026-09-13T10:34:49+00:00,2026-09-13T10:36:45Z
tether,USDT,TRY,OKX,okex,3528477,0.028814,1553940.7506378295,2121090.291370861,,False,False,2026-09-13T10:34:10+00:00,2026-09-13T10:36:45Z
tether,USDT,TRY,BtcTurk | Kripto,btcturk,3440184,0.012059,752851.0276885553,324636.4166978751,,False,False,2026-09-13T10:34:54+00:00,2026-09-13T10:36:45Z
tether,USDT,EUR,Bybit,bybit_spot,3031386,0.011594,2384925.3762530163,4786226.151193846,,False,False,2026-09-13T10:34:46+00:00,2026-09-13T10:36:45Z
tether,USDT,EUR,Niza.io,niza-global,2619295,0.011594,1505048.4969647992,1300719.68974638,,False,False,2026-09-13T10:34:53+00:00,2026-09-13T10:36:45Z
tether,USDT,BRL,OKX,okex,2596279,0.011941,2648055.9340708153,1222138.1574367797,,False,False,2026-09-13T10:34:10+00:00,2026-09-13T10:36:45Z
tether,USDT,THB,Bitazza,bitazza,2223042,0.03023,1403740.01171513,1220739.2528838844,,False,False,2026-09-13T10:35:01+00:00,2026-09-13T10:36:45Z
tether,USDT,MXN,Bitso,bitso,1918195,0.015891,299961.3982851189,1161201.602076368,,False,False,2026-09-13T10:35:41+00:00,2026-09-13T10:36:45Z
tether,USDT,IDR,OSL Exchange,osl-exchange,1877018,0.018532,1539100.534838085,990518.3013901644,,False,False,2026-09-13T10:35:45+00:00,2026-09-13T10:36:45Z
tether,USDT,ZAR,VALR,valr,1605873,0.010618,737257.7571955313,380886.04102814425,,False,False,2026-09-13T10:35:33+00:00,2026-09-13T10:36:45Z
tether,USDT,UAH,WhiteBIT,whitebit,1536864,0.023073,21125.820156359558,20400.268751071104,,False,False,2026-09-13T10:35:41+00:00,2026-09-13T10:36:45Z
tether,USDT,EUR,OKX,okex,1254260,0.011593,795713.3183505777,1306412.6841343048,,False,False,2026-09-13T10:35:38+00:00,2026-09-13T10:36:45Z
tether,USDT,IDR,TokoCrypto,toko_crypto,1117732,0.015695,1098565.252682498,471825.52104470774,,False,False,2026-09-13T10:35:34+00:00,2026-09-13T10:36:45Z
tether,USDT,IDR,Binance,binance,1100032,0.015695,1098499.0378245318,480438.0074961776,,False,False,2026-09-13T10:35:36+00:00,2026-09-13T10:36:45Z
tether,USDT,BRL,Foxbit,foxbit,1018101,0.011942,7896509.016288095,1682732.1192388127,,False,False,2026-09-13T10:35:34+00:00,2026-09-13T10:36:45Z
