date,collected_utc,venue,pair,corridor,stablecoin,off_ramp_action,raw_file,raw_sha256,threshold_bps,reference_mid,best_bid,best_ask,executable_stablecoin_usd,quote_proceeds,book_covers_threshold,depth_is_lower_bound,levels_used
2026-08-26,2026-08-26T06:14:23.118150+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,6967aee7395baf5c16a0ac5b3885090394e1d2dd2a1ba28dd4dcf21dcfa5da27,10,16.045650000000002,16.0416,16.0497,321376.7838,5153324.744106699,True,False,12
2026-08-26,2026-08-26T06:14:23.118150+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,6967aee7395baf5c16a0ac5b3885090394e1d2dd2a1ba28dd4dcf21dcfa5da27,50,16.045650000000002,16.0416,16.0497,830560.4059,13310646.138700388,True,False,26
2026-08-26,2026-08-26T06:14:23.118150+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,6967aee7395baf5c16a0ac5b3885090394e1d2dd2a1ba28dd4dcf21dcfa5da27,100,16.045650000000002,16.0416,16.0497,873327.7015,13992854.138740389,True,False,29
2026-08-26,2026-08-26T06:14:23.118150+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,6967aee7395baf5c16a0ac5b3885090394e1d2dd2a1ba28dd4dcf21dcfa5da27,200,16.045650000000002,16.0416,16.0497,1155517.6431999998,18448980.16560039,True,False,35
2026-08-26,2026-08-26T06:14:23.392120+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,7f88140a49bcbe060a543e49223eaaf881ef53009640c96c15624ebf34aae139,10,32.724999999999994,32.72,32.73,996252.78,32592415.0936,True,False,3
2026-08-26,2026-08-26T06:14:23.392120+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,7f88140a49bcbe060a543e49223eaaf881ef53009640c96c15624ebf34aae139,50,32.724999999999994,32.72,32.73,1323185.6200000003,43261146.084800005,True,False,16
2026-08-26,2026-08-26T06:14:23.392120+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,7f88140a49bcbe060a543e49223eaaf881ef53009640c96c15624ebf34aae139,100,32.724999999999994,32.72,32.73,1655761.7200000002,54064106.5785,True,False,29
2026-08-26,2026-08-26T06:14:23.392120+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,7f88140a49bcbe060a543e49223eaaf881ef53009640c96c15624ebf34aae139,200,32.724999999999994,32.72,32.73,1816708.730000001,59256599.11760001,True,False,50
