coin_id,peg_ccy,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,target_coin_id,snapshot_utc
eurc,EUR,EURC,USDC,Aerodrome Slipstream 3,aerodrome-slipstream-3,3671522,0.603394,10236.435117624906,10205.678098266011,,False,False,2026-08-12T07:02:58+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Coinbase Exchange,gdax,3392173,0.018666,455761.82448425726,381382.6335595362,,False,False,2026-08-12T07:03:46+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,2978051,0.60288,46302.12862887455,46163.00641980156,,False,False,2026-08-12T07:02:58+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,1921920,0.605595,2906.869962405113,2898.1358030341867,,False,False,2026-08-12T07:02:58+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,WETH,Aerodrome Slipstream 3,aerodrome-slipstream-3,1878157,0.603132,18549.31859669006,18493.58417893457,,False,False,2026-08-12T07:02:58+00:00,l2-standard-bridged-weth-base,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Orca,orca,1216377,0.604056,7483.066963407474,7460.582882493295,,False,False,2026-08-12T07:02:08+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,CBBTC,Aerodrome SlipStream,aerodrome-slipstream,589491,0.603872,8990.422894250298,8963.40971946575,,False,False,2026-08-12T07:02:58+00:00,coinbase-wrapped-btc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Uniswap V3 (Ethereum),uniswap_v3,566284,0.602792,101503.56265755519,101198.57884182429,,False,False,2026-08-12T07:02:08+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,482868,0.603276,13454.65536163675,13414.228680798164,,False,False,2026-08-12T07:00:31+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,EURE,Uniswap V3 (Ethereum),uniswap_v3,349453,0.615779,888.3072656387703,885.6382032696986,,False,False,2026-08-12T06:37:28+00:00,monerium-eur-money,2026-08-12T07:05:49Z
eurc,EUR,EURC,EURCV,Uniswap V3 (Ethereum),uniswap_v3,275317,0.602776,117610.25902364985,117256.88004239039,,False,False,2026-08-12T06:34:56+00:00,eur-coinvertible,2026-08-12T07:05:49Z
eurc,EUR,EURC,USD,Kraken,kraken,258676,0.026005,170987.42039805002,195792.47547397998,,False,False,2026-08-12T07:01:57+00:00,,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Velodrome SlipStream (Optimism),velodrome-finance-slipstream,215938,0.604657,3678.217762624857,3667.16596445183,,False,False,2026-08-12T07:02:15+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDT,HTX,huobi,197533,0.776219,21.89078283008212,321.8340435906732,,False,True,2026-08-12T07:03:45+00:00,tether,2026-08-12T07:05:49Z
eurc,EUR,EURC,EUR,Kraken,kraken,178183,0.02,248229.9343973677,236716.63195033482,,False,False,2026-08-12T06:57:37+00:00,,2026-08-12T07:05:49Z
bitcoin,EUR,BTC,EURC,Kraken,kraken,174687,0.023923,107135.76149978356,68263.89835183111,,False,False,2026-08-12T06:58:48+00:00,eurc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDT,PancakeSwap V3 (Base),pancakeswap-v3-base,127971,0.606176,2008.6856681574916,2002.6502482802066,,False,False,2026-08-12T07:02:53+00:00,l2-standard-bridged-usdt-base,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Uniswap V3 (Avalanche),uniswap-v3-avalanche,109645,0.604476,4464.704124576965,4451.289201352873,,False,False,2026-08-12T06:59:38+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Kraken,kraken,104356,0.011266,186640.10697243438,540219.314485912,,False,False,2026-08-12T06:33:38+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,USDC,Pancakeswap Infinity CLMM (Base),pancakeswap-infinity-clmm-base,87845,0.611037,1614.523488439401,1609.6723923675058,,False,False,2026-08-12T07:02:45+00:00,usdc,2026-08-12T07:05:49Z
eurc,EUR,EURC,EUR,Bit2Me,bit2me,85632,0.029997,154590.39952472417,273436.6385412547,,False,False,2026-08-12T07:01:03+00:00,,2026-08-12T07:05:49Z
