base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,BRL,Binance,binance,35063193,0.011938,1817714.366102257,6331308.562587052,,False,False,2026-09-06T09:38:50+00:00,2026-09-06T09:40:31Z
tether,USDT,PHP,Coins.ph,coinspro,31640798,0.015954,6707255.546327296,5777899.584804916,,False,False,2026-09-06T09:38:59+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,Binance,binance,23980445,0.020738,3139124.1577570536,2098761.441009024,,False,False,2026-09-06T09:38:50+00:00,2026-09-06T09:40:31Z
tether,USDT,THB,Bitkub,bitkub,12033820,0.030321,1601632.4751945124,2057566.0068939894,,False,False,2026-09-06T09:39:00+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,Kraken,kraken,8604778,0.011609,3532394.0737070725,3606974.776941106,,False,False,2026-09-06T09:38:54+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,Bybit,bybit_spot,6958930,0.034827,14041.036706038118,542983.328224336,,False,False,2026-09-06T09:38:16+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,Paribu,paribu,6165933,0.012073,291802.2300597758,2646961.267804861,,False,False,2026-09-06T09:39:00+00:00,2026-09-06T09:40:31Z
tether,USDT,IDR,OSL Exchange,osl-exchange,5993333,0.014249,1515992.4710545111,1067760.2069481495,,False,False,2026-09-06T09:38:19+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,OKX,okex,5896536,0.049669,750000.9628854722,1843377.64494691,,False,False,2026-09-06T09:38:20+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,WhiteBIT,whitebit,5620276,0.206654,3040901.318466089,317274.61147844297,,False,False,2026-09-06T09:39:00+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,BtcTurk | Kripto,btcturk,4864233,0.043524,320814.3927190589,216904.5580202495,,False,False,2026-09-06T09:38:47+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,Niza.io,niza-global,4302375,0.011609,1729979.8594907264,1798515.6943422414,,False,False,2026-09-06T09:38:51+00:00,2026-09-06T09:40:31Z
tether,USDT,IDR,Indodax,indodax,3873716,,,,,False,False,2026-09-06T09:39:02+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,CoinTR,cointr,2792945,0.02073,4542530.3223356595,3606984.6264870097,,False,False,2026-09-06T09:39:47+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,OKX,okex,2786808,0.011608,1063064.9375210388,1654047.596022241,,False,False,2026-09-06T09:39:51+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,Coinbase Exchange,gdax,2476539,0.011161,319094.8071376143,251077.04998525025,,False,False,2026-09-06T09:35:24+00:00,2026-09-06T09:40:31Z
tether,USDT,BRL,OKX,okex,2381062,0.017744,1257357.7470194763,1078231.631142859,,False,False,2026-09-06T09:38:20+00:00,2026-09-06T09:40:31Z
tether,USDT,THB,Bitazza,bitazza,2080331,0.030321,537823.8785405945,2014370.4214450598,,False,False,2026-09-06T09:39:55+00:00,2026-09-06T09:40:31Z
tether,USDT,MXN,Bitso,bitso,1613980,0.015919,374264.7133817705,478059.81171364564,,False,False,2026-09-06T09:39:39+00:00,2026-09-06T09:40:31Z
tether,USDT,ZAR,VALR,valr,1613247,0.012987,282671.7140396263,2194917.14490088,,False,False,2026-09-06T09:39:54+00:00,2026-09-06T09:40:31Z
tether,USDT,UAH,WhiteBIT,whitebit,1544740,0.045966,20838.24547582828,21300.88651495096,,False,False,2026-09-06T09:39:54+00:00,2026-09-06T09:40:31Z
tether,USDT,IDR,Binance,binance,1483784,0.015691,1126678.5146516324,256985.95936315993,,False,False,2026-09-06T09:39:44+00:00,2026-09-06T09:40:31Z
tether,USDT,IDR,TokoCrypto,toko_crypto,1475980,0.015691,1119906.562036323,256985.95936315993,,False,False,2026-09-06T09:39:50+00:00,2026-09-06T09:40:31Z
tether,USDT,BRL,Mercado Bitcoin,mercado_bitcoin,1214545,0.011937,217780.6361240466,242659.64277711217,,False,False,2026-09-06T09:36:55+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,Bitstamp by Robinhood,bitstamp,1163956,0.123045,179505.8405560372,344236.0807185221,,False,False,2026-09-06T09:35:25+00:00,2026-09-06T09:40:31Z
tether,USDT,BRL,Bybit,bybit_spot,1127929,0.011937,368887.8514054972,3095446.233554416,,False,False,2026-09-06T09:34:01+00:00,2026-09-06T09:40:31Z
tether,USDT,ARS,Binance,binance,1015086,0.016313,119135.76651240097,113214.34435535759,,False,False,2026-09-06T09:39:44+00:00,2026-09-06T09:40:31Z
tether,USDT,BRL,Foxbit,foxbit,913913,0.011937,11705243.232870866,3919871.628827658,,False,False,2026-09-06T09:39:05+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,Bitget,bitget,856561,0.011605,1853150.4890654217,2267745.1714806687,,False,False,2026-09-06T09:39:07+00:00,2026-09-06T09:40:31Z
tether,USDT,INR,KoinBX,koinbazar,748366,0.012013,32723.110076409434,43210.755818406615,,False,False,2026-09-06T09:39:40+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,SAFEbit,bitci,712661,0.087451,2348378.1358699286,2247384.8969652667,,False,False,2026-09-06T09:39:54+00:00,2026-09-06T09:40:31Z
tether,USDT,TRY,Bybit,bybit_spot,691932,0.082884,231.17051068660155,346018.75317841646,,False,False,2026-09-06T09:36:11+00:00,2026-09-06T09:40:31Z
tether,USDT,EUR,KuCoin,kucoin,624385,0.011598,198003.84002690963,229916.97173955615,,False,False,2026-09-06T09:37:38+00:00,2026-09-06T09:40:31Z
tether,USDT,INR,CoinDCX,coindcx,619543,0.01,18.87097158499747,37.55132729539901,,False,False,2026-09-06T09:39:56+00:00,2026-09-06T09:40:31Z
tether,USDT,INR,Koinpark,koinpark,617294,0.010011,4051208.8201200054,2950280.239865629,,False,False,2026-09-06T09:36:14+00:00,2026-09-06T09:40:31Z
tether,USDT,MXN,Binance,binance,607416,0.059102,198759.46634137098,119536.25586242834,,False,False,2026-09-06T09:39:44+00:00,2026-09-06T09:40:31Z
