base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,BRL,Binance,binance,78989600,0.011923,2006301.0241828805,1387897.3760330896,,False,False,2026-09-01T10:24:52+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,Kraken,kraken,70302432,0.011596,4525213.716060048,4674480.269959736,,False,False,2026-09-01T10:24:55+00:00,2026-09-01T10:26:41Z
tether,USDT,BRL,Foxbit,foxbit,56776124,0.011923,9570179.447521875,4424730.286568223,,False,False,2026-09-01T10:24:15+00:00,2026-09-01T10:26:41Z
tether,USDT,PHP,Coins.ph,coinspro,48892091,0.016031,6394590.586247977,6542747.261787557,,False,False,2026-09-01T10:24:43+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,Niza.io,niza-global,35151216,0.011596,2224888.4484777446,2387092.516146882,,False,False,2026-09-01T10:25:04+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,Binance,binance,25319549,0.020747,2686149.655053501,3453902.1498919805,,False,False,2026-09-01T10:24:52+00:00,2026-09-01T10:26:41Z
tether,USDT,ZAR,VALR,valr,21100171,0.010614,998710.6052869842,2068576.0032285068,,False,False,2026-09-01T10:25:04+00:00,2026-09-01T10:26:41Z
tether,USDT,THB,Bitkub,bitkub,19815520,0.030148,2342351.046807742,851075.2698010196,,False,False,2026-09-01T10:25:03+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,Coinbase Exchange,gdax,19565045,0.01116,396012.8605495908,380205.20008973195,,False,False,2026-09-01T10:25:06+00:00,2026-09-01T10:26:41Z
tether,USDT,BRL,OKX,okex,19407555,0.011922,1282856.5521754862,1079466.5394891938,,False,False,2026-09-01T10:24:12+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,CEX.IO,cex,9080372,0.034787,8798555.033296019,5689678.542278844,,False,False,2026-09-01T10:21:29+00:00,2026-09-01T10:26:41Z
tether,USDT,IDR,Indodax,indodax,8827717,,,,,False,False,2026-09-01T10:24:46+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,OKX,okex,7788955,0.018667,1099932.4069785413,3374333.0870120386,,False,False,2026-09-01T10:24:12+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,BtcTurk | Kripto,btcturk,6383481,0.012075,251897.42456035313,418859.3272029075,,False,False,2026-09-01T10:25:03+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,Bybit,bybit_spot,5806641,0.011593,779848.5182402799,5275813.540105198,,False,False,2026-09-01T10:25:02+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,Paribu,paribu,5499277,0.012074,285198.9608785,1955838.5554555433,,False,False,2026-09-01T10:24:58+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,WhiteBIT,whitebit,5005374,0.020738,4741270.739545839,750764.1694650762,,False,False,2026-09-01T10:24:43+00:00,2026-09-01T10:26:41Z
tether,USDT,BRL,Mercado Bitcoin,mercado_bitcoin,3956609,0.011923,206912.86196486818,217278.9888959467,,False,False,2026-09-01T10:21:08+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,OKX,okex,3944715,0.011592,1771234.1738967826,1312578.844894839,,False,False,2026-09-01T10:25:01+00:00,2026-09-01T10:26:41Z
tether,USDT,THB,Bitazza,bitazza,3037868,0.030157,1778142.466573418,888058.3299493148,,False,False,2026-09-01T10:24:06+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,Bitstamp by Robinhood,bitstamp,2659570,0.019713,567242.0878952342,305092.990146024,,False,False,2026-09-01T10:19:15+00:00,2026-09-01T10:26:41Z
tether,USDT,MXN,Bitso,bitso,2640138,0.011768,185992.55321852147,457092.82099480386,,False,False,2026-09-01T10:25:47+00:00,2026-09-01T10:26:41Z
tether,USDT,IDR,TokoCrypto,toko_crypto,2186380,0.015646,832017.0869719178,489566.40068557474,,False,False,2026-09-01T10:23:13+00:00,2026-09-01T10:26:41Z
tether,USDT,IDR,Binance,binance,1952937,0.015646,840392.1858615066,473161.047820622,,False,False,2026-09-01T10:25:46+00:00,2026-09-01T10:26:41Z
tether,USDT,ARS,Binance,binance,1920556,0.016233,134092.88527672936,188946.7876776348,,False,False,2026-09-01T10:25:55+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,KuCoin,kucoin,1674303,0.011575,317158.21002079826,151286.7821849846,,False,False,2026-09-01T10:25:15+00:00,2026-09-01T10:26:41Z
tether,USDT,ARS,Bitso,bitso,1652913,0.069594,223963.1465735595,81582.75027425647,,False,False,2026-09-01T10:25:47+00:00,2026-09-01T10:26:41Z
tether,USDT,BRL,Bybit,bybit_spot,1641222,0.028833,640716.4172429086,2466935.626232669,,False,False,2026-09-01T10:25:48+00:00,2026-09-01T10:26:41Z
tether,USDT,UAH,WhiteBIT,whitebit,1544877,0.046051,18597.02747102738,20169.583976932656,,False,False,2026-09-01T10:25:38+00:00,2026-09-01T10:26:41Z
tether,USDT,INR,CoinDCX,coindcx,1377132,0.01,4.2664382917745725,34.984793992551495,,False,False,2026-09-01T10:26:05+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,WhiteBIT,whitebit,1175078,0.011596,4908957.307002686,7860075.543243497,,False,False,2026-09-01T10:25:38+00:00,2026-09-01T10:26:41Z
tether,USDT,MXN,Binance,binance,1163998,0.058754,230685.10834838354,91174.3337795236,,False,False,2026-09-01T10:25:55+00:00,2026-09-01T10:26:41Z
tether,USDT,INR,Giottus,giottus,1162880,0.90045,85081.83715163058,31941.84761232626,,False,False,2026-09-01T10:25:05+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,CoinTR,cointr,1117221,0.020751,3650652.576725159,5232535.957867841,,False,False,2026-09-01T10:25:49+00:00,2026-09-01T10:26:41Z
tether,USDT,EUR,Bitget,bitget,1097385,0.011598,3969534.301024033,4038482.674313591,,False,False,2026-09-01T10:25:39+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,Bybit,bybit_spot,859321,0.02073,251238.83101896924,654208.7869635544,,False,False,2026-09-01T10:21:30+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,Bitexen,bitexen,844120,1.892515,102625.45953523695,87870.99796625569,,False,False,2026-09-01T10:25:11+00:00,2026-09-01T10:26:41Z
tether,USDT,SGD,OKX,okex,789771,0.078493,371593.8793987752,406834.6551527999,,False,False,2026-09-01T10:15:29+00:00,2026-09-01T10:26:41Z
tether,USDT,INR,KoinBX,koinbazar,758146,0.012018,42981.36541832649,34006.757386943915,,False,False,2026-09-01T10:25:50+00:00,2026-09-01T10:26:41Z
tether,USDT,ZAR,Binance,binance,732848,0.010614,59790.187907065425,77453.00109634122,,False,False,2026-09-01T10:25:00+00:00,2026-09-01T10:26:41Z
tether,USDT,BRL,Bitso,bitso,724820,0.015378,147580.25412695398,50927.61683708557,,False,False,2026-09-01T10:25:47+00:00,2026-09-01T10:26:41Z
tether,USDT,INR,Koinpark,koinpark,618153,0.010008,5079837.546269087,3298696.857064238,,False,False,2026-09-01T10:25:19+00:00,2026-09-01T10:26:41Z
tether,USDT,TRY,SAFEbit,bitci,596004,0.087451,2348378.1358699286,2247384.8969652667,,False,False,2026-09-01T10:25:40+00:00,2026-09-01T10:26:41Z
