date,collected_utc,venue,pair,corridor,stablecoin,off_ramp_action,raw_file,raw_sha256,threshold_bps,reference_mid,best_bid,best_ask,executable_stablecoin_usd,quote_proceeds,book_covers_threshold,depth_is_lower_bound,levels_used
2026-08-28,2026-08-28T17:52:36.853984+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,f251fe80a5beb9b5e6454486795af4df5adc8ca41d07a986da7de23b6c1004c1,10,16.2216,16.2156,16.2276,70132.8377,1137112.96622435,True,False,8
2026-08-28,2026-08-28T17:52:36.853984+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,f251fe80a5beb9b5e6454486795af4df5adc8ca41d07a986da7de23b6c1004c1,50,16.2216,16.2156,16.2276,110599.4742,1791966.1864894,True,False,13
2026-08-28,2026-08-28T17:52:36.853984+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,f251fe80a5beb9b5e6454486795af4df5adc8ca41d07a986da7de23b6c1004c1,100,16.2216,16.2156,16.2276,166783.0366,2695473.383809159,True,False,27
2026-08-28,2026-08-28T17:52:36.853984+00:00,valr,USDTZAR,ZAR,USDT,sell_stablecoin_base_hit_bids,valr_usdtzar_raw.json,f251fe80a5beb9b5e6454486795af4df5adc8ca41d07a986da7de23b6c1004c1,200,16.2216,16.2156,16.2276,499552.03289999993,8019682.74571816,True,False,42
2026-08-28,2026-08-28T17:52:37.060438+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2fc164b437922b720c956298530824284f2f1e5d239447c73919fa36c98da2e2,10,33.095,33.09,33.1,154014.16,5094869.227399999,True,False,3
2026-08-28,2026-08-28T17:52:37.060438+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2fc164b437922b720c956298530824284f2f1e5d239447c73919fa36c98da2e2,50,33.095,33.09,33.1,473908.23000000004,15659193.1625,True,False,12
2026-08-28,2026-08-28T17:52:37.060438+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2fc164b437922b720c956298530824284f2f1e5d239447c73919fa36c98da2e2,100,33.095,33.09,33.1,634053.26,20920694.993400004,True,False,23
2026-08-28,2026-08-28T17:52:37.060438+00:00,bitkub,usdt_thb,THB,USDT,sell_stablecoin_base_hit_bids,bitkub_usdt_thb_raw.json,2fc164b437922b720c956298530824284f2f1e5d239447c73919fa36c98da2e2,200,33.095,33.09,33.1,785569.32,25870042.8355,True,False,50
