id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.17,451382529,54861602,386013503.2572471,0.1,2026-08-22T06:06:30.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.17,169809679,44218162,145270413.36,0.0,2026-08-22T06:06:30.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,262.8,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.193505,55231274,7739.88,285425404.572114,-0.1,2026-08-22T06:06:30.000Z
eurite,euri,Eurite,EUR,1.17,38746091,27686903,33139851.48990108,0.1,2026-08-22T06:06:30.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.17,32980615,674833,28183986.49789848,0.3,2026-08-22T06:06:30.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.193564,32430434,200867,167543662.2747158,0.1,2026-08-22T06:06:30.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.17,27799677,602442,23751567.88039632,0.3,2026-08-22T06:06:30.000Z
xsgd,xsgd,XSGD,SGD,0.786867,12661894,1361530,16091533.639569,0.0,2026-08-22T06:06:30.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.626e-05,9781351,32.63,173856905811.0,0.8,2026-08-22T06:06:30.000Z
stablr-euro,eurr,StablR Euro,EUR,0.455092,7801660,18.55,17143032.563007,-8.8,2026-08-22T05:21:10.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.2,7084879,59.94,5907155.64,0.7,2026-08-22T06:06:30.000Z
bilira,tryb,BiLira,TRY,0.02055096,5877604,30.8,286001377.600774,1.4,2026-08-20T07:43:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.1,5087357,3737156,4613598.585709,-2.6,2026-08-22T06:06:30.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061425,4544214,2290.54,73979922.21510787,-0.3,2026-08-22T06:06:30.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,0.0,2026-08-14T17:36:40.000Z
vnx-euro,veur,VNX EURO,EUR,1.043,2884205,0.104,2764082.75105,260.7,2026-06-21T12:25:40.000Z
par-stablecoin,par,Parallel,EUR,1.25,2790130,1380.62,2240894.0,-1.3,2026-08-22T06:06:30.000Z
brl1,brl1,BRL1,BRL,0.194466,2758870,1271723,14186917.54,1.0,2026-08-22T06:06:30.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00071801,2390367,623.84,3329160380.540488,0.1,2026-08-22T06:06:30.000Z
mxnb,mxnb,MXNB,MXN,0.059188,2165125,22904,36580688.62821,0.6,2026-08-22T06:06:30.000Z
