coin_id,peg_ccy,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,target_coin_id,snapshot_utc
eurc,EUR,EURC,USDC,Coinbase Exchange,gdax,2624171,0.018639,366794.28171217703,573659.4601870656,,False,False,2026-08-30T10:46:48+00:00,usdc,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDC,Aerodrome Slipstream 3,aerodrome-slipstream-3,1864425,0.603274,16236.216133016458,16187.431804470425,,False,False,2026-08-30T10:46:48+00:00,usdc,2026-08-30T10:48:41Z
eurc,EUR,EURC,WETH,Aerodrome Slipstream 3,aerodrome-slipstream-3,1446958,0.603059,17560.524152200833,17507.760726741162,,False,False,2026-08-30T10:46:48+00:00,l2-standard-bridged-weth-base,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,994153,0.602886,30499.087878483486,30407.448452694327,,False,False,2026-08-30T10:43:55+00:00,usdc,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,672642,0.602841,42007.1647656651,41880.94746783988,,False,False,2026-08-30T10:33:14+00:00,usdc,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,358236,0.607267,2333.8877728208745,2326.875230799625,,False,False,2026-08-30T10:42:34+00:00,usdc,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDC,Uniswap V3 (Ethereum),uniswap_v3,256689,0.602825,70678.2965158585,70465.93218108642,,False,False,2026-08-30T10:14:04+00:00,usdc,2026-08-30T10:48:41Z
eurc,EUR,EURC,KRW,Upbit,upbit,243763,0.062228,246375.90827928192,593218.168652538,,False,True,2026-08-30T10:40:51+00:00,,2026-08-30T10:48:41Z
eurc,EUR,EURC,CBBTC,Aerodrome SlipStream,aerodrome-slipstream,206826,0.603452,7457.82260142316,7435.414371263793,,False,False,2026-08-30T10:41:38+00:00,coinbase-wrapped-btc,2026-08-30T10:48:41Z
eurc,EUR,EURC,EURCV,Uniswap V3 (Ethereum),uniswap_v3,185839,0.602774,116634.76132152013,116284.31338035071,,False,False,2026-08-30T10:43:46+00:00,eur-coinvertible,2026-08-30T10:48:41Z
eurc,EUR,EURC,EUR,Kraken,kraken,174978,0.019996,221685.89754880496,313789.48818105157,,False,False,2026-08-30T10:44:33+00:00,,2026-08-30T10:48:41Z
eurc,EUR,EURC,USD,Kraken,kraken,167780,0.224959,160933.80786800003,958759.7534765,,False,False,2026-08-30T10:45:09+00:00,,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDC,Orca,orca,160684,0.603764,7498.800411661528,7476.269057065939,,False,False,2026-08-30T10:47:01+00:00,usdc,2026-08-30T10:48:41Z
wrapped-bitcoin,EUR,WBTC,EURC,De¹,openocean_finance,136242,,,,,True,True,2026-08-24T18:19:26+00:00,eurc,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDC,Kraken,kraken,121630,0.191406,104827.69905973041,163247.92518153394,,False,False,2026-08-30T10:47:02+00:00,usdc,2026-08-30T10:48:41Z
eurc,EUR,EURC,USDT,HTX,huobi,116809,0.754264,81.69751014463425,209.31476297534817,,False,False,2026-08-30T10:46:53+00:00,tether,2026-08-30T10:48:41Z
ethereum,EUR,ETH,EURC,De¹,openocean_finance,88458,,,,,True,False,2026-08-28T06:18:34+00:00,eurc,2026-08-30T10:48:41Z
bitcoin,EUR,BTC,EURC,Kanga Global,kanga,67488,1.292399,680397.8134271903,509037.1693332873,,False,False,2026-08-30T10:47:02+00:00,eurc,2026-08-30T10:48:41Z
eurc,EUR,EURC,KRW,Bithumb,bithumb,67277,0.062305,11166.830095482203,117560.24593550776,,False,True,2026-08-30T10:26:17+00:00,,2026-08-30T10:48:41Z
