base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,BRL,Binance,binance,76862337,0.011961,1357783.5425249299,1967112.2571537723,,False,False,2026-08-04T05:38:00+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,Kraken,kraken,62698053,0.011518,5558431.492238298,5021589.224234302,,False,False,2026-08-04T05:38:24+00:00,2026-08-04T05:40:52Z
tether,USDT,PHP,Coins.ph,coinspro,48623975,0.016369,4350638.557301989,4179599.376269258,,False,False,2026-08-04T05:38:28+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,Niza.io,niza-global,31349017,0.011518,2356016.801578694,2463986.278192085,,False,False,2026-08-04T05:37:45+00:00,2026-08-04T05:40:52Z
tether,USDT,BRL,Foxbit,foxbit,30854852,0.011961,3147963.5879239617,2490947.610425756,,False,False,2026-08-04T05:36:16+00:00,2026-08-04T05:40:52Z
tether,USDT,ZAR,VALR,valr,29944150,0.010603,812975.0171985357,1559036.8626307056,,False,False,2026-08-04T05:38:30+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,Binance,binance,28577867,0.021097,3465766.65813357,1505021.249008535,,False,False,2026-08-04T05:38:38+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,Bitstamp by Robinhood,bitstamp,21348607,0.019214,1133660.3208167825,667201.0600558228,,False,False,2026-08-04T05:38:13+00:00,2026-08-04T05:40:52Z
tether,USDT,THB,Bitkub,bitkub,16946638,0.029967,3508961.875561609,1516635.9759971267,,False,False,2026-08-04T05:38:18+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,Coinbase Exchange,gdax,16371404,0.013456,399079.0815556932,409795.39601489727,,False,False,2026-08-04T05:35:54+00:00,2026-08-04T05:40:52Z
tether,USDT,BRL,OKX,okex,14210894,0.015882,1456101.4270638614,1273424.8308392733,,False,False,2026-08-04T05:38:39+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,SAFEbit,bitci,13069560,0.087451,2348378.1358699286,2247384.8969652667,,False,False,2026-08-04T05:38:13+00:00,2026-08-04T05:40:52Z
tether,USDT,IDR,Indodax,indodax,10569293,,,,,False,False,2026-08-04T05:38:24+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,Bybit,bybit_spot,6068477,0.011519,2910341.6002386967,4485431.842886178,,False,False,2026-08-04T05:38:24+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,Paribu,paribu,5860352,0.012108,296562.71799954824,2968958.1603392954,,False,False,2026-08-04T05:38:23+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,BtcTurk | Kripto,btcturk,5747940,0.088623,286644.46842806425,355482.9669996986,,False,False,2026-08-04T05:38:29+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,CoinTR,cointr,5436043,0.021088,6348496.88642298,4885678.784058656,,False,False,2026-08-04T05:38:23+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,OKX,okex,5325515,0.012108,2340832.2888349723,1020453.3103345219,,False,False,2026-08-04T05:38:39+00:00,2026-08-04T05:40:52Z
tether,USDT,BRL,Bybit,bybit_spot,5291279,0.011961,1822271.4566522343,1551977.434141802,,False,False,2026-08-04T05:35:38+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,OKX,okex,4986484,0.011517,1809015.941106067,1521092.8604817837,,False,False,2026-08-04T05:38:27+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,WhiteBIT,whitebit,3675278,0.042141,3640453.5410957825,506108.39575950475,,False,False,2026-08-04T05:37:46+00:00,2026-08-04T05:40:52Z
tether,USDT,MXN,Bitso,bitso,3425817,0.015786,353130.17783220636,278663.2263751606,,False,False,2026-08-04T05:39:31+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,WhiteBIT,whitebit,2937273,0.011518,12145413.277706554,10953029.425952822,,False,False,2026-08-04T05:38:32+00:00,2026-08-04T05:40:52Z
tether,USDT,ARS,Binance,binance,2810708,0.016316,142862.71532655577,79989.12578552953,,False,False,2026-08-04T05:38:43+00:00,2026-08-04T05:40:52Z
tether,USDT,IDR,TokoCrypto,toko_crypto,2723138,0.033378,514388.40492170764,613572.1481190147,,False,False,2026-08-04T05:38:14+00:00,2026-08-04T05:40:52Z
tether,USDT,INR,Giottus,giottus,1976817,1.470441,178749.7246405797,6498.226750076492,,False,False,2026-08-04T05:38:18+00:00,2026-08-04T05:40:52Z
tether,USDT,BRL,Bitso,bitso,1951305,0.031398,108398.34373884529,34472.07198553998,,False,False,2026-08-04T05:37:36+00:00,2026-08-04T05:40:52Z
tether,USDT,THB,Bitazza,bitazza,1892029,0.059916,1465967.8459074788,1255678.450993011,,False,False,2026-08-04T05:39:34+00:00,2026-08-04T05:40:52Z
tether,USDT,IDR,Binance,binance,1765788,0.022288,549414.3575774692,729598.6349260334,,False,False,2026-08-04T05:38:43+00:00,2026-08-04T05:40:52Z
tether,USDT,ARS,Bitso,bitso,1366558,0.06595,166061.48604800057,89456.6432990086,,False,False,2026-08-04T05:39:31+00:00,2026-08-04T05:40:52Z
tether,USDT,BRL,Mercado Bitcoin,mercado_bitcoin,1301279,0.01196,202302.44352919047,413922.47775952704,,False,False,2026-08-04T05:39:34+00:00,2026-08-04T05:40:52Z
tether,USDT,UAH,WhiteBIT,whitebit,1256622,0.02292,18906.64800851586,19714.64169570275,,False,False,2026-08-04T05:40:08+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,XBO.com,xbo_com,1055699,0.050669,56068767.174938105,56042994.42198064,,False,False,2026-08-04T05:39:32+00:00,2026-08-04T05:40:52Z
tether,USDT,MXN,Binance,binance,1012103,0.057703,188008.8156778226,254624.77460078825,,False,False,2026-08-04T05:38:43+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,Bitget,bitget,764093,0.01151,452424.8838247716,1643343.6435635816,,False,False,2026-08-04T05:40:06+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,KuCoin,kucoin,741899,0.057904,226412.79544277384,104331.76504586331,,False,False,2026-08-04T05:35:36+00:00,2026-08-04T05:40:52Z
tether,USDT,INR,KoinBX,koinbazar,723595,0.011974,32915.12627625541,37189.115178504166,,False,False,2026-08-04T05:39:28+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,Bybit,bybit_spot,633135,0.733138,614.8788754380926,1450431.8619915792,,False,False,2026-08-04T05:15:37+00:00,2026-08-04T05:40:52Z
tether,USDT,INR,Koinpark,koinpark,614645,0.010019,10813627.238158425,2224727.942278765,,False,False,2026-08-04T05:40:34+00:00,2026-08-04T05:40:52Z
tether,USDT,CLP,Buda,buda,556780,0.226186,230767.45930802615,308157.9451816994,,False,False,2026-08-04T04:42:45+00:00,2026-08-04T05:40:52Z
tether,USDT,ZAR,Binance,binance,458597,0.06006,57909.08407800642,119877.95037278208,,False,False,2026-08-04T05:41:03+00:00,2026-08-04T05:40:52Z
tether,USDT,INR,CoinDCX,coindcx,389267,0.01,0.8499371618371541,39.38042183178814,,False,False,2026-08-04T05:40:42+00:00,2026-08-04T05:40:52Z
tether,USDT,TRY,Bitexen,bitexen,319072,0.390749,91596.77406826592,92626.07935952253,,False,False,2026-08-04T05:40:06+00:00,2026-08-04T05:40:52Z
tether,USDT,SGD,Independent Reserve,independent_reserve,259346,0.078034,870907.7663829012,456560.1559794981,,False,False,2026-08-04T05:36:17+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,Kanga Global,kanga,255365,0.517004,397792.20117178943,382794.2718879735,,False,False,2026-08-04T05:39:27+00:00,2026-08-04T05:40:52Z
tether,USDT,BRL,Bitget,bitget,222568,0.019486,324582.4493770081,546702.7842449651,,False,False,2026-08-04T05:36:27+00:00,2026-08-04T05:40:52Z
tether,USDT,EUR,CEX.IO,cex,221017,0.023036,8726178.76234738,4552304.898554702,,False,False,2026-08-04T04:26:13+00:00,2026-08-04T05:40:52Z
tether,USDT,SGD,OKX,okex,217028,0.148056,395118.60797554196,432766.38122600736,,False,False,2026-08-04T05:21:19+00:00,2026-08-04T05:40:52Z
tether,USDT,IDR,Bittime,bittime,137127,0.015577,482190.11615306145,403282.3464986819,,False,False,2026-08-04T05:41:52+00:00,2026-08-04T05:40:52Z
tether,USDT,BRL,KuCoin,kucoin,81952,0.169786,30453.499258184096,25586.88184490772,,False,False,2026-08-04T05:08:35+00:00,2026-08-04T05:40:52Z
tether,USDT,INR,WazirX,wazirx,73397,0.250878,50090.16491685421,15729.756032891093,,False,False,2026-08-04T05:42:05+00:00,2026-08-04T05:40:52Z
tether,USDT,THB,Orbix,tdax,59623,0.029967,151077.7220943907,76004.84386894075,,False,False,2026-08-04T05:40:00+00:00,2026-08-04T05:40:52Z
tether,USDT,INR,ZebPay,zebpay,54721,,,,,False,False,2026-08-04T05:42:52+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,Kraken,kraken,102845387,0.011506,8705881.10682796,5530707.67895091,,False,False,2026-08-04T05:43:45+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,Bit2Me,bit2me,100800078,0.011506,8606423.756623717,5512171.539927086,,False,False,2026-08-04T05:43:33+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,Niza.io,niza-global,51423702,0.011506,3414134.730075863,2023271.9325710912,,False,False,2026-08-04T05:43:27+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,BRL,Foxbit,foxbit,43375827,0.058766,3252838.366703847,1172593.330446285,,False,False,2026-08-04T05:42:53+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,Coinbase Exchange,gdax,36813245,0.011507,1780095.9934664965,1966773.2176204377,,False,False,2026-08-04T05:43:53+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,PHP,Coins.ph,coinspro,35113897,0.016356,4760518.044989202,4400271.456969209,,False,False,2026-08-04T05:43:36+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,Bitstamp by Robinhood,bitstamp,22527707,0.010357,956158.7129687084,1240218.4211013236,,False,False,2026-08-04T05:43:39+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,TRY,SAFEbit,bitci,9324640,0.063264,522511.7817805966,707358.5791923049,,False,False,2026-08-04T05:43:21+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,BRL,Binance,binance,9019025,0.01196,244549.46467880023,1044675.0025351174,,False,False,2026-08-04T05:44:02+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,OKX,okex,8953901,0.011504,2535587.239694018,3062446.5441009277,,False,False,2026-08-04T05:41:56+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,BRL,Mercado Bitcoin,mercado_bitcoin,7256063,0.050939,160899.2765845233,123986.42385392453,,False,False,2026-08-04T05:35:43+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,BRL,OKX,okex,3536720,0.011959,367166.9260937565,480879.3099772114,,False,False,2026-08-04T05:02:46+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,WhiteBIT,whitebit,2865332,0.023012,25073486.03296899,18196859.520629782,,False,False,2026-08-04T05:42:39+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,TRY,Binance,binance,1811502,0.02111,489897.47781271086,46048.18743838032,,False,False,2026-08-04T05:42:47+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,Bitvavo,bitvavo,1662473,0.023015,417685.3576496293,371085.74910408625,,False,False,2026-08-04T05:43:21+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,EUR,Bybit,bybit_spot,1150725,0.011509,5207166.2615507115,2938524.010428521,,False,False,2026-08-04T05:43:38+00:00,2026-08-04T05:40:52Z
usd-coin,USDC,TRY,CoinTR,cointr,961503,0.358196,195015.54827706586,17421.13449106884,,False,False,2026-08-04T05:43:36+00:00,2026-08-04T05:40:52Z
