id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.15,455272545,32508970,395821629.2923361,-0.1,2026-08-04T05:46:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.15,154694039,10152502,134419796.57,-0.1,2026-08-04T05:46:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,262.8,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.195643,52394338,14598.08,267814844.0831727,0.0,2026-08-04T05:46:20.000Z
eurite,euri,Eurite,EUR,1.15,38125366,3909856,33139851.48990108,-0.1,2026-08-04T05:46:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.15,32406146,483466,28152808.23308029,-0.2,2026-08-04T05:46:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.195814,28272640,204504,144389814.171865,0.0,2026-08-04T05:46:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.15,27382110,1034902,23778956.95557813,-0.3,2026-08-04T05:46:20.000Z
xsgd,xsgd,XSGD,SGD,0.779561,12130661,530169,15560732.379569,-0.1,2026-08-04T05:46:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.647e-05,9817098,3.28,173856905811.0,0.2,2026-07-27T07:53:00.000Z
stablr-euro,eurr,StablR Euro,EUR,0.532171,9122975,557.31,17143032.563007,1.6,2026-08-04T05:46:20.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.2,7092264,108.45,5907155.64,0.2,2026-08-04T05:46:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.12,6767568,4105505,6000000.0,0.1,2026-08-04T05:46:20.000Z
bilira,tryb,BiLira,TRY,0.02114995,5902779,6873.73,279091922.614465,2.1,2026-07-27T19:00:50.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.060197,4453334,19.76,73979922.21510787,2.5,2026-08-04T05:46:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01628689,3664721,8307.72,225011899.7613014,0.3,2026-08-04T05:46:20.000Z
vnx-euro,veur,VNX EURO,EUR,1.043,2884205,0.104,2764082.75105,260.7,2026-06-21T12:25:40.000Z
